rbins	hotentr
5.0	7.00389199657
15.0	17.7802372663
25.0	46.8972856308
35.0	209.045639173
45.0	856.03574896
55.0	3506.10355304
65.0	8365.29348417
75.0	4580.26334618
85.0	8542.23421742
95.0	4244.1613159
105.0	4332.04338217
115.0	5086.50994747
125.0	4782.38559886
135.0	11391.2984278
145.0	10859.7162792
155.0	17491.2186229
165.0	20367.6556029
175.0	15586.3255255
185.0	16431.098571
195.0	10195.4855438
205.0	10875.1607128
215.0	22962.4507538
225.0	20775.548344
235.0	12032.6305731
245.0	17855.3819551
255.0	37307.1763488
265.0	30058.4537641
275.0	23894.780419
285.0	24942.0479706
295.0	24671.4785195
305.0	32030.8984847
315.0	27772.589954
325.0	37221.905216
335.0	144900.776368
345.0	77996.4067155
355.0	58932.0004825
365.0	48555.1894735
375.0	58152.3844061
385.0	54519.5097127
395.0	91384.1275878
405.0	116856.595907
415.0	114815.984271
425.0	88868.9965714
435.0	119320.17079
445.0	479480.129323
455.0	464617.998015
465.0	439730.854422
475.0	347892.340408
485.0	455871.236326
495.0	1965733.19784
505.0	806621.476023
515.0	297044.458692
525.0	646679.173551
535.0	199932.80946
545.0	313255.315554
555.0	260526.293921
565.0	314534.551393
575.0	188913.437036
585.0	233626.375161
595.0	379027.591981
605.0	296399.792351
615.0	216287.205158
625.0	205482.726092
635.0	257313.546518
645.0	381821.33646
655.0	343413.280712
665.0	277990.745406
675.0	620974.913211
685.0	683396.095454
695.0	3479137.85896
705.0	4637353.59569
715.0	682160.483954
725.0	829001.851962
735.0	1076614.45075
745.0	324939.558342
755.0	1122063.08883
765.0	1596064.12755
775.0	3348687.44253
785.0	875304.515169
795.0	701759.414647
805.0	684405.814834
815.0	392489.601533
825.0	447055.859684
835.0	790288.658529
845.0	347664.231023
855.0	2280795.16763
865.0	435130.522835
875.0	1318467.34951
885.0	573589.522637
895.0	1164001.5677
905.0	382419.232151
915.0	492821.676047
925.0	596730.077386
935.0	734066.94241
945.0	1517465.65835
955.0	489288.147549
965.0	649232.874735
975.0	908591.179884
985.0	702407.673495
995.0	673868.327719
