rbins	hotdensity
5.0	0.0218346692847
15.0	0.0109589606825
25.0	0.00635977950312
35.0	0.00410611694082
45.0	0.00225375074214
55.0	0.00126402357336
65.0	0.000684583047912
75.0	0.000235109440208
85.0	8.25066593351e-05
95.0	4.33622905407e-05
105.0	2.11317317618e-05
115.0	9.93957583203e-06
125.0	6.83384608367e-06
135.0	3.77784508067e-06
145.0	2.96833972903e-06
155.0	1.82707269234e-06
165.0	1.11334334385e-06
175.0	9.43442451105e-07
185.0	7.53733795798e-07
195.0	5.6383622144e-07
205.0	5.80704683514e-07
215.0	5.06348173341e-07
225.0	4.47281104693e-07
235.0	5.90331990936e-07
245.0	5.41720155732e-07
255.0	4.20216472485e-07
265.0	4.16839152781e-07
275.0	2.12991849951e-07
285.0	1.18717029664e-07
295.0	1.91094696356e-07
305.0	1.93946388019e-07
315.0	1.55449863014e-07
325.0	5.88124638501e-08
335.0	5.27310291693e-08
345.0	7.11948758125e-08
355.0	6.05821072983e-08
365.0	5.9251665452e-08
375.0	5.21991782732e-08
385.0	4.23941456623e-08
395.0	3.4242252466e-08
405.0	3.91255118265e-08
415.0	2.65792006157e-08
425.0	1.88316613233e-08
435.0	2.33054405691e-08
445.0	1.29680152347e-08
455.0	8.65899735801e-09
465.0	2.01331885747e-08
475.0	1.10770506556e-08
485.0	1.0555520412e-08
495.0	1.95479050093e-08
505.0	9.25355546981e-09
515.0	4.00874111133e-09
525.0	1.12435542424e-08
535.0	1.25658076074e-08
545.0	4.73476004037e-09
555.0	8.53639230342e-09
565.0	1.2613110598e-08
575.0	1.17841014834e-08
585.0	6.82894984111e-09
595.0	5.49557987955e-09
605.0	2.41450516778e-08
615.0	1.66515384001e-08
625.0	6.57912491148e-09
635.0	7.7877375476e-09
645.0	8.83532915259e-09
655.0	7.66115962486e-09
665.0	7.87867424382e-09
675.0	8.36070772904e-09
685.0	8.40961961167e-09
695.0	9.28787092553e-09
705.0	8.63924949007e-09
715.0	1.16435903795e-08
725.0	1.01006376855e-08
735.0	9.82546239122e-09
745.0	1.1672531754e-08
755.0	1.36459552555e-08
765.0	1.22443617156e-08
775.0	9.76266591149e-09
785.0	1.00199924777e-08
795.0	1.07924747995e-08
805.0	9.16047364416e-09
815.0	8.12827707639e-09
825.0	5.49926151978e-09
835.0	6.81520454043e-09
845.0	6.3778966008e-09
855.0	6.07369899344e-09
865.0	5.63264255672e-09
875.0	5.87115335129e-09
885.0	3.85021792075e-09
895.0	3.72226248051e-09
905.0	4.0921225653e-09
915.0	4.10341213588e-09
925.0	6.26589446322e-09
935.0	3.22281608753e-09
945.0	3.58485230984e-09
955.0	3.52405925011e-09
965.0	3.00216071054e-09
975.0	2.26613747571e-09
985.0	2.9974717449e-09
995.0	2.40121213251e-09
