rbins	hottemp
5.0	0.998480841842
15.0	0.680589732259
25.0	0.618727819234
35.0	0.610397094919
45.0	0.586338816217
55.0	0.599977352613
65.0	0.59331584184
75.0	0.615912082885
85.0	0.625673503689
95.0	0.613409137606
105.0	0.620406067602
115.0	0.625521815728
125.0	0.611043660457
135.0	0.616312601674
145.0	0.624251146759
155.0	0.649841044453
165.0	0.61754046729
175.0	0.607121755762
185.0	0.615976372248
195.0	0.611424535579
205.0	0.668513536553
215.0	0.619940026986
225.0	0.595159403757
235.0	0.697707193437
245.0	0.662063014302
255.0	0.753533719872
265.0	0.699924752828
275.0	0.639466511881
285.0	0.633449805079
295.0	0.650221216839
305.0	0.672214223821
315.0	0.671248240665
325.0	0.969729775616
335.0	0.657623852944
345.0	0.743752401957
355.0	0.798558753025
365.0	0.754164641306
375.0	0.721993630452
385.0	0.665105296882
395.0	0.798798947064
405.0	0.661464822736
415.0	0.904275670784
425.0	3.28946510354
435.0	0.83393521371
445.0	0.664895506219
455.0	0.957102507662
465.0	3.40169448183
475.0	1.03365538785
485.0	1.28458409356
495.0	1.80710005502
505.0	0.786244852094
515.0	1.53584980967
525.0	1.80955724582
535.0	3.41246105171
545.0	2.76351748226
555.0	4.65179832088
565.0	3.05701785999
575.0	5.42885756701
585.0	6.29949877324
595.0	3.09448938762
605.0	3.65172031285
615.0	3.82106221013
625.0	2.86886503239
635.0	8.91940336937
645.0	6.3470913154
655.0	3.7297126786
665.0	3.68684563956
675.0	5.01640419782
685.0	14.6681649996
695.0	8.17647822158
705.0	4.57338120991
715.0	12.8443585384
725.0	13.7632574946
735.0	3.90346790237
745.0	19.8825306653
755.0	17.2235782943
765.0	19.8028719061
775.0	12.6292660804
785.0	2.86627516522
795.0	12.6500117315
805.0	15.6305083855
815.0	7.40373714064
825.0	5.33564290988
835.0	7.81577161686
845.0	6.35979231327
855.0	12.0349354085
865.0	11.4320169608
875.0	6.90134396474
885.0	21.0278428172
895.0	8.89163577683
905.0	11.3608990273
915.0	35.3381129714
925.0	9.93349279552
935.0	16.647534243
945.0	21.4865507467
955.0	8.45347281734
965.0	8.63087657315
975.0	5.74550863843
985.0	2.54855870739
995.0	6.48761914864
