rbins	hotdensity
5.0	0.0312114976604
15.0	0.00579408062678
25.0	0.00134781045842
35.0	0.000209013490028
45.0	4.48972908741e-05
55.0	1.79874808225e-05
65.0	9.94315021468e-06
75.0	4.42301245322e-06
85.0	4.09046384344e-06
95.0	3.80019958359e-06
105.0	4.29294985092e-06
115.0	4.17754907193e-06
125.0	3.71749494793e-06
135.0	3.28442001206e-06
145.0	2.63302244658e-06
155.0	1.89825587699e-06
165.0	1.39600949305e-06
175.0	1.65641855078e-06
185.0	1.79581618948e-06
195.0	1.63782707213e-06
205.0	1.33148477843e-06
215.0	1.10807402015e-06
225.0	1.03256304621e-06
235.0	8.33471346411e-07
245.0	6.04610165872e-07
255.0	3.88551440419e-07
265.0	4.48590131014e-07
275.0	3.88000839639e-07
285.0	3.13862251702e-07
295.0	2.64435643564e-07
305.0	2.3672557033e-07
315.0	1.85128191077e-07
325.0	1.25203261723e-07
335.0	1.15628711904e-07
345.0	1.06171285285e-07
355.0	1.00264162409e-07
365.0	7.87015639046e-08
375.0	7.41650450692e-08
385.0	7.4496400238e-08
395.0	5.57932995017e-08
405.0	4.12725893396e-08
415.0	4.5818141833e-08
425.0	3.52656862024e-08
435.0	2.8118603092e-08
445.0	3.15265762178e-08
455.0	2.65209616607e-08
465.0	2.00354200393e-08
475.0	8.61810684394e-09
485.0	7.81426749173e-09
495.0	1.00179004234e-08
505.0	1.07409869071e-08
515.0	9.48735582921e-09
525.0	4.24593051863e-09
535.0	1.07846697777e-08
545.0	3.90305775612e-09
555.0	9.12296791055e-09
565.0	9.21128356254e-09
575.0	1.08780080441e-08
585.0	8.96296908687e-09
595.0	7.54738797479e-09
605.0	6.68268559168e-09
615.0	1.14927122754e-08
625.0	1.10070783986e-08
635.0	7.01469163879e-09
645.0	4.65894481595e-09
655.0	6.00407379116e-09
665.0	6.41626102728e-09
675.0	2.09143847473e-09
685.0	2.55286959874e-09
695.0	4.78817604874e-10
705.0	2.39383202349e-09
715.0	3.60393618817e-09
725.0	1.08452610585e-09
735.0	4.85168074692e-09
745.0	4.75514460646e-09
755.0	1.10953715012e-09
765.0	2.82843858525e-09
775.0	1.47336996834e-09
785.0	7.81956772649e-10
795.0	1.68898571411e-09
805.0	2.03487916124e-09
815.0	4.60027835923e-09
825.0	3.69120515611e-09
835.0	1.55570542797e-09
845.0	4.90769373719e-09
855.0	3.4268460577e-09
865.0	3.50902061097e-09
875.0	4.7672917873e-09
885.0	2.44893763641e-09
895.0	4.23496502306e-09
905.0	4.46553133138e-09
915.0	3.51086615082e-09
925.0	2.6813039323e-09
935.0	1.79623942283e-09
945.0	1.28901954147e-09
955.0	2.58596025718e-09
965.0	2.05973352716e-09
975.0	2.26888509213e-09
985.0	2.26283044068e-09
995.0	2.49794798246e-09
