rbins	hotentr
5.0	9.82556158275
15.0	12.1457687506
25.0	19.3446468385
35.0	27.1289632381
45.0	30.2467767225
55.0	41.9358930607
65.0	56.4100267534
75.0	58.7905264726
85.0	63.8757021182
95.0	74.0310229694
105.0	93.5831000497
115.0	121.375266415
125.0	156.747206147
135.0	199.242736342
145.0	225.71725667
155.0	268.211114202
165.0	287.304164717
175.0	324.933735663
185.0	368.218321229
195.0	434.897826531
205.0	576.85203131
215.0	639.888047998
225.0	703.140997841
235.0	978.142270437
245.0	1064.54844724
255.0	1353.65989305
265.0	1342.73132476
275.0	1338.70734043
285.0	1420.59945877
295.0	1597.68466827
305.0	1872.9901309
315.0	2093.72626922
325.0	3279.2670273
335.0	2359.1701712
345.0	2826.96885175
355.0	3150.2740771
365.0	3053.47756569
375.0	3006.47742144
385.0	2815.07079915
395.0	3554.34791918
405.0	3249.60773063
415.0	5002.52083823
425.0	21868.8635746
435.0	6338.87246114
445.0	5740.3870695
455.0	8779.69133888
465.0	36930.6653899
475.0	11637.157186
485.0	15898.8139753
495.0	24198.9174921
505.0	12677.9639308
515.0	35860.3148056
525.0	64168.0276162
535.0	168244.270813
545.0	148375.630336
555.0	275254.441571
565.0	233300.060164
575.0	415452.452502
585.0	473594.682409
595.0	235250.786364
605.0	280739.467342
615.0	329431.93764
625.0	246078.029744
635.0	826223.402025
645.0	565163.311703
655.0	314292.976184
665.0	282004.809185
675.0	413984.405993
685.0	1191054.09468
695.0	665138.741017
705.0	375486.533189
715.0	1180352.69939
725.0	1288517.30168
735.0	402320.225465
745.0	2203219.22185
755.0	2224024.90647
765.0	2902396.00289
775.0	1876689.57097
785.0	446315.477784
795.0	1909203.16722
805.0	2557866.16953
815.0	1273531.08041
825.0	1130770.04836
835.0	1549850.73146
845.0	1242727.09376
855.0	2500271.15328
865.0	2631355.39412
875.0	1367922.68887
885.0	4463131.80766
895.0	1973689.93106
905.0	2613058.55938
915.0	8207165.85797
925.0	2475295.4891
935.0	4194942.62714
945.0	5586472.14904
955.0	2424027.26358
965.0	2625696.28179
975.0	1792022.81614
985.0	1117269.20555
995.0	2232021.3117
