rbins	hotdensity
5.0	0.0593052501527
15.0	0.0112697736173
25.0	0.00327254484326
35.0	0.0019912430799
45.0	0.00118906753659
55.0	0.000434457323566
65.0	0.000197340913076
75.0	8.96845757981e-05
85.0	4.73400872012e-05
95.0	2.35849041209e-05
105.0	1.70696930872e-05
115.0	8.85665615529e-06
125.0	4.29174153761e-06
135.0	2.28113437918e-06
145.0	2.1718313051e-06
155.0	1.94915213739e-06
165.0	1.77471454654e-06
175.0	2.11588095943e-06
185.0	1.57986160607e-06
195.0	1.10457288123e-06
205.0	1.28243352823e-06
215.0	1.04261626402e-06
225.0	1.24207075006e-06
235.0	1.09735944512e-06
245.0	8.92010742811e-07
255.0	6.77860718588e-07
265.0	5.61379573296e-07
275.0	5.39562614363e-07
285.0	4.46450273218e-07
295.0	4.32801825401e-07
305.0	4.4439842796e-07
315.0	4.90075650673e-07
325.0	4.08467152895e-07
335.0	3.30184653385e-07
345.0	2.1801536946e-07
355.0	1.10915837743e-07
365.0	1.54592428489e-07
375.0	1.53295580564e-07
385.0	1.30549893204e-07
395.0	1.12336597174e-07
405.0	9.20901492094e-08
415.0	8.25714975122e-08
425.0	8.68928654738e-08
435.0	4.99954281587e-08
445.0	4.50367534486e-08
455.0	4.36118081853e-08
465.0	4.49123415349e-08
475.0	3.99282019931e-08
485.0	4.31682283437e-08
495.0	5.67893648692e-08
505.0	6.40684926555e-08
515.0	3.87325104753e-08
525.0	2.82469126067e-08
535.0	3.31322027697e-08
545.0	1.3241084035e-08
555.0	6.23199126308e-09
565.0	1.41703530105e-08
575.0	1.68348547388e-08
585.0	7.3884027646e-09
595.0	1.04044639013e-08
605.0	1.2835896541e-08
615.0	1.59524626192e-08
625.0	1.54720532654e-08
635.0	1.95839781919e-08
645.0	1.93293085151e-08
655.0	1.61320664108e-08
665.0	2.48948656527e-08
675.0	1.94315723021e-08
685.0	2.23325694273e-08
695.0	1.67315363737e-08
705.0	2.09095532081e-08
715.0	1.61433805793e-08
725.0	1.53460427077e-08
735.0	2.18615228716e-08
745.0	2.09694856322e-08
755.0	1.70781001437e-08
765.0	1.64733970894e-08
775.0	1.45586774445e-08
785.0	1.23989752891e-08
795.0	1.27963598331e-08
805.0	1.36653147898e-08
815.0	1.42318854418e-08
825.0	1.51664099306e-08
835.0	1.47904027204e-08
845.0	1.25378913888e-08
855.0	1.24704741451e-08
865.0	1.65472684958e-08
875.0	1.61716372691e-08
885.0	1.60311689631e-08
895.0	1.24015577499e-08
905.0	1.70310985929e-08
915.0	1.16527781528e-08
925.0	8.26798265652e-09
935.0	7.97294653674e-09
945.0	9.19824151081e-09
955.0	8.58274427552e-09
965.0	4.0041378966e-09
975.0	6.34535240302e-09
985.0	4.03747936263e-09
995.0	2.44725726769e-09
