rbins	hotdensity
2.5	0.0360615104571
7.5	0.0258024862639
12.5	0.0207940735613
17.5	0.0175886071601
22.5	0.0155489105262
27.5	0.0139393252366
32.5	0.012412132005
37.5	0.0112957132102
42.5	0.0102919338665
47.5	0.00945205084831
52.5	0.00867268544393
57.5	0.00800879169584
62.5	0.00736946291105
67.5	0.00671818183162
72.5	0.00611393688198
77.5	0.00564223149538
82.5	0.00522529085474
87.5	0.00486679266689
92.5	0.00457872087898
97.5	0.00426970912521
102.5	0.00399015638792
107.5	0.00374002664466
112.5	0.00352006296224
117.5	0.00331956875558
122.5	0.00312453805973
127.5	0.0029397152254
132.5	0.00277561875334
137.5	0.00261327894314
142.5	0.00246000550315
147.5	0.0023226813336
152.5	0.00220679843004
157.5	0.00208821283514
162.5	0.00195174411205
167.5	0.0018154764505
172.5	0.0016960239099
177.5	0.00160036522131
182.5	0.00150722028694
187.5	0.00140734290061
192.5	0.00130429501956
197.5	0.00120242662925
202.5	0.0011164690183
207.5	0.00103565055264
212.5	0.000953823828765
217.5	0.00089025830928
222.5	0.000841409788395
227.5	0.000794422512703
232.5	0.000757008689335
237.5	0.000721945573836
242.5	0.000688918463155
247.5	0.000658599591465
252.5	0.000631335993915
257.5	0.000604597848636
262.5	0.000580338444259
267.5	0.000557023630241
272.5	0.000536256011781
277.5	0.000517893549946
282.5	0.000500326965755
287.5	0.00048378402992
292.5	0.000467894805664
297.5	0.000453170348211
302.5	0.000439767590649
307.5	0.000425737284765
312.5	0.000413715781204
317.5	0.000402086733234
322.5	0.000390528387754
327.5	0.000380073369047
332.5	0.000369489346599
337.5	0.000359998664838
342.5	0.000350578652744
347.5	0.0003403940404
352.5	0.000330795747958
357.5	0.000321155627023
362.5	0.000313204033173
367.5	0.000305773447071
372.5	0.000297988561901
377.5	0.000290484091461
382.5	0.000283161664913
387.5	0.000276478612063
392.5	0.000269095660253
397.5	0.000263078406817
402.5	0.000256359878712
407.5	0.000250141073371
412.5	0.000243758688751
417.5	0.000237553749084
422.5	0.000231915562531
427.5	0.000226439258671
432.5	0.000221346789068
437.5	0.000216273975554
442.5	0.000211626296203
447.5	0.000206458029891
452.5	0.000201509485047
457.5	0.000196561479806
462.5	0.000191751822236
467.5	0.000187492903767
472.5	0.000182762700996
477.5	0.000178282960339
482.5	0.000173342990679
487.5	0.00016869404783
492.5	0.000164337103133
497.5	0.000159950638545
502.5	0.000155539796482
507.5	0.000151781790114
512.5	0.000147958472771
517.5	0.00014453872395
522.5	0.000140859445549
527.5	0.000137415536653
532.5	0.000134247904743
537.5	0.000130965642239
542.5	0.000127630210574
547.5	0.000124806449856
552.5	0.000121721428033
557.5	0.000118383471584
562.5	0.00011549120339
567.5	0.000112715009443
572.5	0.000109806033899
577.5	0.000106987023188
582.5	0.000104381268336
587.5	0.00010187268253
592.5	9.93267146159e-05
597.5	9.70817973014e-05
602.5	9.47658638912e-05
607.5	9.26117407836e-05
612.5	9.06929912249e-05
617.5	8.88901511534e-05
622.5	8.68698464988e-05
627.5	8.49751473546e-05
632.5	8.35217841346e-05
637.5	8.12743331642e-05
642.5	7.95246397646e-05
647.5	7.79172880651e-05
652.5	7.61095986208e-05
657.5	7.44968198982e-05
662.5	7.27341271174e-05
667.5	7.12065902659e-05
672.5	6.95521133343e-05
677.5	6.79795096008e-05
682.5	6.63038025239e-05
687.5	6.48326725703e-05
692.5	6.31143041858e-05
697.5	6.17815271329e-05
702.5	6.04060991158e-05
707.5	5.91403533047e-05
712.5	5.79213130052e-05
717.5	5.68560593607e-05
722.5	5.581213906e-05
727.5	5.48010849813e-05
732.5	5.37326433996e-05
737.5	5.2832154816e-05
742.5	5.17676583864e-05
747.5	5.08176921436e-05
752.5	4.97399806952e-05
757.5	4.88565297889e-05
762.5	4.78589458757e-05
767.5	4.6919786468e-05
772.5	4.59670302345e-05
777.5	4.51074374952e-05
782.5	4.4256704732e-05
787.5	4.34795892168e-05
792.5	4.2698670672e-05
797.5	4.18252934504e-05
802.5	4.10805651786e-05
807.5	4.03495559217e-05
812.5	3.94526011997e-05
817.5	3.87612099661e-05
822.5	3.79541088072e-05
827.5	3.73628148063e-05
832.5	3.65945869757e-05
837.5	3.59410394778e-05
842.5	3.52327590598e-05
847.5	3.47654553752e-05
852.5	3.41913588247e-05
857.5	3.36474729636e-05
862.5	3.31873686544e-05
867.5	3.27058141393e-05
872.5	3.22149973085e-05
877.5	3.1753608302e-05
882.5	3.12613462387e-05
887.5	3.08807740245e-05
892.5	3.04382900792e-05
897.5	3.00467378142e-05
902.5	2.96169156656e-05
907.5	2.93319482882e-05
912.5	2.8897296529e-05
917.5	2.84861019815e-05
922.5	2.80559565433e-05
927.5	2.76886433141e-05
932.5	2.73362723914e-05
937.5	2.70418013717e-05
942.5	2.67362956568e-05
947.5	2.64202151052e-05
952.5	2.6051198343e-05
957.5	2.56763730004e-05
962.5	2.53693102276e-05
967.5	2.5053419559e-05
972.5	2.47628798189e-05
977.5	2.44684406382e-05
982.5	2.41331630573e-05
987.5	2.38689479593e-05
992.5	2.35491827057e-05
997.5	2.32095569921e-05
