rbins	hottemp
5.0	0.711540196985
15.0	0.621859659892
25.0	0.549339867797
35.0	0.527569710826
45.0	0.53029977066
55.0	0.527798423842
65.0	0.51153221054
75.0	0.531654629972
85.0	0.532351697463
95.0	0.509801076021
105.0	0.49743397433
115.0	0.4851908582
125.0	0.465991997331
135.0	0.46211349673
145.0	0.463021970526
155.0	0.464389849847
165.0	0.450874009656
175.0	0.440736059141
185.0	0.438184836832
195.0	0.425619156527
205.0	0.416897596862
215.0	0.406713629092
225.0	0.40387958297
235.0	0.408387831202
245.0	0.395659065029
255.0	0.395772795012
265.0	0.386299344273
275.0	0.376465530698
285.0	0.372045474988
295.0	0.368130540063
305.0	0.362649549448
315.0	0.355451062911
325.0	0.366638868976
335.0	0.347513158109
345.0	0.349248430523
355.0	0.350364614729
365.0	0.348679412901
375.0	0.348536126868
385.0	0.347280789233
395.0	0.354357073482
405.0	0.344592584412
415.0	0.350686898401
425.0	0.42356834063
435.0	0.333673118393
445.0	0.324153652421
455.0	0.326691096932
465.0	0.36875858142
475.0	0.311290984515
485.0	0.306681191882
495.0	0.303372910199
505.0	0.265522103255
515.0	0.25579450801
525.0	0.239919148222
535.0	0.233992572299
545.0	0.223548281056
555.0	0.222073490703
565.0	0.206483989456
575.0	0.207185639821
585.0	0.205469053632
595.0	0.190029248724
605.0	0.187395674757
615.0	0.183511809851
625.0	0.178167490287
635.0	0.193057413956
645.0	0.186131547915
655.0	0.177783482448
665.0	0.178940453365
675.0	0.181951398335
685.0	0.223130737
695.0	0.195401445567
705.0	0.179095280347
715.0	0.206994708449
725.0	0.20969112892
735.0	0.169166960366
745.0	0.217721458442
755.0	0.198974885631
765.0	0.197577127041
775.0	0.181222627214
785.0	0.158359207881
795.0	0.180347471453
805.0	0.183390979415
815.0	0.164854558639
825.0	0.157875300262
835.0	0.162778034929
845.0	0.160561215495
855.0	0.169068990885
865.0	0.165564421943
875.0	0.161285922825
885.0	0.185261796719
895.0	0.162950920772
905.0	0.166935460604
915.0	0.207727730133
925.0	0.164349396636
935.0	0.175486134092
945.0	0.18270300908
955.0	0.16055487329
965.0	0.160503655687
975.0	0.156315836923
985.0	0.150931766139
995.0	0.156593932916
