rbins	hottemp
2.5	4.71288905175
7.5	3.39273202987
12.5	2.92186845453
17.5	2.60173022171
22.5	2.38617762665
27.5	2.22474149722
32.5	2.15749128493
37.5	2.07374096767
42.5	2.01394214291
47.5	1.96064956086
52.5	1.91638643537
57.5	1.87669665289
62.5	1.84288317237
67.5	1.83858765639
72.5	1.82541568599
77.5	1.82196266868
82.5	1.80184381552
87.5	1.76801396683
92.5	1.71942807831
97.5	1.69297499158
102.5	1.66779581873
107.5	1.64847465556
112.5	1.6299973963
117.5	1.619447637
122.5	1.62468865947
127.5	1.60689490942
132.5	1.59811478085
137.5	1.5953516617
142.5	1.60805778481
147.5	1.59763229955
152.5	1.59498415946
157.5	1.60475819809
162.5	1.62907131301
167.5	1.66311080568
172.5	1.7098677458
177.5	1.74548231645
182.5	1.74566100739
187.5	1.73757846522
192.5	1.7109678034
197.5	1.66666730904
202.5	1.638081073
207.5	1.60583309486
212.5	1.55272853309
217.5	1.4845437452
222.5	1.44564579847
227.5	1.4469248077
232.5	1.42999430811
237.5	1.43334755531
242.5	1.43610913057
247.5	1.42741098731
252.5	1.40174662696
257.5	1.38980657086
262.5	1.42592522119
267.5	1.3844734224
272.5	1.37660033889
277.5	1.36806815327
282.5	1.38512430903
287.5	1.35647848326
292.5	1.34662178668
297.5	1.35794201178
302.5	1.34176372668
307.5	1.33296998009
312.5	1.3229850758
317.5	1.31386468411
322.5	1.29277688378
327.5	1.29281419499
332.5	1.30375246136
337.5	1.27215221109
342.5	1.2574954321
347.5	1.25551812576
352.5	1.24842827671
357.5	1.23696799503
362.5	1.2406824164
367.5	1.21929236571
372.5	1.20574610281
377.5	1.21794300719
382.5	1.22123625661
387.5	1.18934885445
392.5	1.19173075581
397.5	1.19870080743
402.5	1.18083457392
407.5	1.15901541433
412.5	1.15818952591
417.5	1.13910493042
422.5	1.1395131427
427.5	1.15319829776
432.5	1.12242137304
437.5	1.15891280453
442.5	1.1054621818
447.5	1.12642176892
452.5	1.08766829296
457.5	1.08894565971
462.5	1.06744225602
467.5	1.06950013931
472.5	1.04462795682
477.5	1.04227835303
482.5	1.06955641909
487.5	1.06358564359
492.5	1.02038083812
497.5	1.01897303874
502.5	1.01414504008
507.5	1.03573917456
512.5	1.04439695491
517.5	0.996183958471
522.5	0.978103474214
527.5	1.05134814715
532.5	0.98145733842
537.5	0.962881778391
542.5	1.00823069708
547.5	0.95551167098
552.5	0.980378914591
557.5	0.934389581639
562.5	0.929700963422
567.5	0.935379211343
572.5	0.925641818091
577.5	0.921552823776
582.5	0.910261115428
587.5	0.934309923922
592.5	0.906778347875
597.5	0.901926998062
602.5	0.895440868248
607.5	0.909147730028
612.5	0.88407201667
617.5	0.877015554979
622.5	0.851727826145
627.5	0.854272006687
632.5	0.846608044574
637.5	0.858174140578
642.5	0.836480714796
647.5	0.844512658221
652.5	0.837026380197
657.5	0.860960206028
662.5	0.858275553961
667.5	0.861200998257
672.5	0.831730535147
677.5	0.84314996355
682.5	0.840565290583
687.5	0.844886573863
692.5	0.818075819137
697.5	0.857528524459
702.5	0.845152254608
707.5	0.787367867896
712.5	0.782663809667
717.5	0.810425257392
722.5	0.765499837679
727.5	0.755230228148
732.5	0.75076082611
737.5	0.879596528041
742.5	0.74521637979
747.5	0.757234988569
752.5	0.733968069257
757.5	0.731194080459
762.5	0.743080923961
767.5	0.729186931643
772.5	0.761795518013
777.5	0.726487001381
782.5	0.740785531146
787.5	0.728774463505
792.5	0.724522288101
797.5	0.837026266578
802.5	0.729170738252
807.5	0.731590657771
812.5	0.749564154805
817.5	0.722940605357
822.5	0.727111351594
827.5	0.724341796531
832.5	0.85096352649
837.5	0.72337848969
842.5	0.729536362747
847.5	0.727791266141
852.5	0.78829156766
857.5	0.732562280861
862.5	0.886273446353
867.5	0.706520148875
872.5	0.711837325646
877.5	0.711792491202
882.5	0.739387800388
887.5	0.704051836091
892.5	0.702640063186
897.5	0.703686944179
902.5	0.712163071243
907.5	0.713295181802
912.5	0.698236440077
917.5	0.723283872902
922.5	0.713834667986
927.5	0.727383671951
932.5	0.698508308124
937.5	0.721182650283
942.5	0.730862347752
947.5	0.692195018278
952.5	0.719513828414
957.5	0.688976292919
962.5	0.703960693324
967.5	0.708751667176
972.5	0.694845914935
977.5	0.685537827276
982.5	0.754367056633
987.5	0.707495911264
992.5	0.687209995764
997.5	0.689236896423
