rbins	hotentr
5.0	5.32798990336
15.0	7.22824792193
25.0	9.41917598328
35.0	12.2541882885
45.0	15.6069244694
55.0	19.5309206794
65.0	23.428547347
75.0	26.0398893581
85.0	30.0414873856
95.0	33.041330286
105.0	36.8669032351
115.0	40.5033552737
125.0	43.6165751919
135.0	49.6612544529
145.0	53.4260565516
155.0	58.5653647616
165.0	62.6941954938
175.0	68.8251692734
185.0	75.542145948
195.0	78.964918685
205.0	83.9955919887
215.0	91.085475868
225.0	95.0646583336
235.0	96.5203271095
245.0	99.7149262559
255.0	104.377981022
265.0	110.254804879
275.0	114.134574641
285.0	118.783399352
295.0	123.556567544
305.0	128.921438815
315.0	130.768707967
325.0	133.40943406
335.0	140.832909839
345.0	141.825980265
355.0	144.040233601
365.0	145.474276956
375.0	149.475753973
385.0	152.866829682
395.0	156.649070348
405.0	160.317547795
415.0	168.378249261
425.0	175.092612066
435.0	183.447540117
445.0	199.336783544
455.0	209.099121538
465.0	218.876008969
475.0	229.121911099
485.0	243.710044193
495.0	269.430442906
505.0	277.476413839
515.0	287.267328453
525.0	300.933349447
535.0	319.593528594
545.0	335.346707493
555.0	363.676273267
565.0	391.202249806
575.0	418.063203546
585.0	452.763011247
595.0	487.426787735
605.0	520.612373625
615.0	569.851293927
625.0	612.539229599
635.0	647.438817787
645.0	673.930008848
655.0	713.036718706
665.0	739.014698845
675.0	773.491071071
685.0	820.390676865
695.0	853.05204645
705.0	947.72955522
715.0	922.622987792
725.0	934.952237337
735.0	1045.02343332
745.0	1029.72744382
755.0	1051.76587409
765.0	1131.96620357
775.0	1170.41468236
785.0	1165.10245547
795.0	1193.01509128
805.0	1229.10261026
815.0	1318.30218601
825.0	1344.52278026
835.0	1367.00585928
845.0	1436.44892683
855.0	1640.1359572
865.0	1513.03125209
875.0	1747.31915389
885.0	1601.08321705
895.0	1825.42572819
905.0	1726.26161057
915.0	1802.57364984
925.0	1872.87089544
935.0	1969.45919952
945.0	2123.49867759
955.0	2245.46673431
965.0	2461.01208873
975.0	2705.36864846
985.0	2947.76386622
995.0	3345.94482187
