rbins	hotentr
5.0	3.44886034886
15.0	4.53368126212
25.0	8.7628616689
35.0	13.8453400218
45.0	17.6858353633
55.0	19.3399971408
65.0	24.5298563484
75.0	28.3010976279
85.0	32.5001215601
95.0	38.4189931842
105.0	43.9636637619
115.0	48.3454261927
125.0	55.0869488382
135.0	56.4654783865
145.0	62.2221179723
155.0	69.2140472385
165.0	71.4466661879
175.0	76.4921191505
185.0	80.14407882
195.0	90.7596092515
205.0	90.9563731134
215.0	97.8753598128
225.0	102.394007062
235.0	108.933456499
245.0	116.764971404
255.0	128.551403253
265.0	124.824276167
275.0	131.210753074
285.0	130.957201715
295.0	138.274357384
305.0	147.126367198
315.0	142.796403834
325.0	148.274019765
335.0	153.181557041
345.0	155.624351527
355.0	168.607015853
365.0	163.16291244
375.0	166.21245002
385.0	169.149429868
395.0	171.731836202
405.0	174.360381677
415.0	176.696935892
425.0	177.929704582
435.0	179.855535491
445.0	182.201323059
455.0	185.180320166
465.0	187.949755898
475.0	191.416380744
485.0	196.523531782
495.0	202.26272881
505.0	208.059924232
515.0	214.208244162
525.0	220.76997309
535.0	225.834472182
545.0	232.079456624
555.0	239.687067215
565.0	247.517630476
575.0	254.442643285
585.0	261.592810798
595.0	270.020771203
605.0	278.015540842
615.0	284.108851586
625.0	289.451274495
635.0	295.541774878
645.0	301.009417917
655.0	307.117045374
665.0	312.540789337
675.0	319.041290483
685.0	323.912433873
695.0	329.726548715
705.0	336.560954082
715.0	342.050613516
725.0	348.706568404
735.0	353.970685618
745.0	359.685132579
755.0	367.646103656
765.0	376.680172878
775.0	387.115390893
785.0	392.91814215
795.0	401.978744828
805.0	410.491074971
815.0	419.459134196
825.0	426.508374036
835.0	438.450928764
845.0	450.248246918
855.0	465.570180797
865.0	476.378613138
875.0	488.001753731
885.0	507.271594015
895.0	513.755708647
905.0	525.273642221
915.0	535.1570681
925.0	549.784809038
935.0	561.972088933
945.0	574.981423156
955.0	593.984929427
965.0	619.953965697
975.0	633.902884369
985.0	660.464021904
995.0	666.666845572
