redshift	R500	fgas	Mgas	Mgas+Mstar	Mtot
0.0	375.15	0.56428835796	1.347878204e+12	1.99704647026e+12	1.40507866339e+13
0.030527243818	351.15	0.670046248536	1.351400164e+12	1.78987538632e+12	1.1863976176e+13
0.0387452919598	350.15	0.675996995236	1.3624882666e+12	1.79791699158e+12	1.18560243889e+13
0.0499401958034	349.35	0.683970102737	1.38392237896e+12	1.81485115839e+12	1.19021574827e+13
0.062466519551	348.35	0.689036247139	1.39895072865e+12	1.82880196921e+12	1.19429448994e+13
0.0790027629744	347.75	0.700053253168	1.43751714936e+12	1.86660880652e+12	1.20790571192e+13
0.0959384340781	348.95	0.700489060699	1.47815887673e+12	1.90986246073e+12	1.24128308405e+13
0.0999673830304	349.65	0.697238144047	1.4864674023e+12	1.93237841911e+12	1.25408025515e+13
0.120880086583	353.15	0.681828523159	1.53007890519e+12	2.00409646802e+12	1.3200480535e+13
0.124914454062	354.05	0.678068811198	1.53996979134e+12	2.02840298125e+12	1.33594786869e+13
0.131079623074	354.25	0.678354513262	1.55246360859e+12	2.04147447966e+12	1.34621922543e+13
0.164350413628	355.15	0.69409007862	1.65815616687e+12	2.17122538463e+12	1.40527290413e+13
0.168045539789	354.75	0.695875565647	1.6633312379e+12	2.17477809378e+12	1.40604181012e+13
0.207013848038	354.85	0.676173655889	1.68702445047e+12	2.21829932983e+12	1.4676219861e+13
0.209520353714	354.55	0.675832156106	1.6869007218e+12	2.21516362977e+12	1.46825588761e+13
0.248188579192	347.75	0.661274533623	1.62559957716e+12	2.16133127231e+12	1.4460484969e+13
0.249844877242	346.85	0.661335127502	1.61550558224e+12	2.13992791147e+12	1.43693773671e+13
0.256507586307	344.45	0.660155034775	1.59139058573e+12	2.1134982008e+12	1.41801858646e+13
0.29180526368	330.75	0.657187326948	1.46001011394e+12	1.92721015742e+12	1.30682598944e+13
0.305084579473	328.35	0.65803721463	1.4518770574e+12	1.91816680299e+12	1.29786782403e+13
0.338137317039	325.45	0.670353829647	1.49640313241e+12	1.95677605671e+12	1.31309332145e+13
0.3557019492	329.05	0.672754845666	1.58354067623e+12	2.05894177661e+12	1.38459725921e+13
0.387504057392	327.35	0.661724044354	1.59171274862e+12	2.06389721718e+12	1.41494271641e+13
0.408305211059	322.25	0.66488086508	1.56328500543e+12	2.03461016091e+12	1.38307396597e+13
0.440280867564	318.25	0.654713202295	1.54086949173e+12	2.02474239397e+12	1.38441353479e+13
0.463014302939	302.25	0.661141991898	1.36890681453e+12	1.81043018736e+12	1.21795213816e+13
0.496912209981	254.15	0.61460762099	788023920053.0	1.06314681334e+12	7.54210436958e+12
0.499900107866	251.45	0.609176833863	759261416053.0	1.03316464122e+12	7.33160451214e+12
0.519719878555	271.35	0.766051818057	1.22930806406e+12	1.50193929863e+12	9.4396015201e+12
0.557928485477	266.55	0.779224473202	1.24129429452e+12	1.5139437215e+12	9.37051054648e+12
0.578755055311	263.95	0.769258871118	1.21938710445e+12	1.49241346068e+12	9.32438427378e+12
0.62396814497	257.65	0.746081377408	1.16177776916e+12	1.44193817017e+12	9.15984111704e+12
0.639979037366	254.95	0.740384662058	1.13980290802e+12	1.41988968253e+12	9.05572917965e+12
0.695807091467	244.75	0.734966404583	1.07064685762e+12	1.33587920426e+12	8.56899397392e+12
0.703463160323	243.45	0.735655551871	1.06481727166e+12	1.33029524153e+12	8.51435293847e+12
0.749984158384	235.95	0.743128120107	1.03580379226e+12	1.30170929117e+12	8.19907539363e+12
0.769587321565	232.65	0.742876591942	1.01616458221e+12	1.28239546928e+12	8.04634145662e+12
0.774398375006	231.95	0.737731053318	1.00592480604e+12	1.27219876161e+12	8.0208156005e+12
0.83812875329	224.35	0.739565149468	985546895133.0	1.23172988845e+12	7.83884243522e+12
0.860926698985	223.25	0.742661702252	1.00212735129e+12	1.25763472437e+12	7.937485876e+12
0.909493582555	221.05	0.754316196398	1.04666724826e+12	1.31164164481e+12	8.16218211357e+12
0.956884698429	218.65	0.777646501894	1.10429653133e+12	1.36709936758e+12	8.35323239178e+12
0.983781630555	218.45	0.772515942337	1.12935883289e+12	1.39407561747e+12	8.59954712676e+12
0.999810014676	218.65	0.760228155264	1.1354742127e+12	1.40529648261e+12	8.78586254464e+12
1.06063440863	211.65	0.742497198389	1.07974331656e+12	1.34274352377e+12	8.55414847041e+12
1.06418199809	211.15	0.741702955163	1.07580817339e+12	1.3383907161e+12	8.53209944609e+12
1.14047912499	192.25	0.741628481832	886277822215.0	1.07176513734e+12	7.02966388416e+12
1.18530498469	176.75	0.726354514747	710027020205.0	845442109960.0	5.75012538068e+12
1.22333660393	173.65	0.714031747099	690768566599.0	851084728576.0	5.69070566668e+12
1.30975825235	160.35	0.69041930149	578321617658.0	794538430713.0	4.9272838422e+12
1.32355752197	159.35	0.69412883453	579811360170.0	793804258083.0	4.91357639988e+12
1.39920516296	153.55	0.69424770461	562885272274.0	768722023966.0	4.76932053922e+12
1.48343559679	144.25	0.668248261093	491816786959.0	679726370986.0	4.32928911563e+12
1.49223617411	143.55	0.667959046233	488569036900.0	675779982722.0	4.30256245108e+12
1.4997393169	142.85	0.66850994077	485729537003.0	672028520410.0	4.27403153843e+12
1.58883935177	140.55	0.655069229486	497626428293.0	696123858804.0	4.46855714223e+12
1.67123312994	136.95	0.646406046363	493479570440.0	686868054352.0	4.49070830776e+12
1.68975444525	136.05	0.644884861383	491722712880.0	684034331537.0	4.48527592995e+12
1.79328674613	127.85	0.655511088635	459796378456.0	633343997677.0	4.12606991101e+12
