redshift	R500	fgas	Mgas	Mgas+Mstar	Mtot
2.37902901317	77.25	0.71232389506	48293562022.4	50047116410.2	398807029461.0
2.49865640548	67.85	0.535059626409	33988679776.7	36415242522.8	373665663756.0
2.50934814759	67.55	0.552641885942	35051559101.1	37539203728.0	373090869541.0
2.52011950504	68.35	0.520724956057	50293500722.6	56327322631.5	568138934876.0
2.64582870338	64.25	0.586794234013	36885087751.5	39289441200.7	369756708304.0
2.78673944284	61.05	0.776590267835	38469877523.5	39027329058.0	291393552778.0
2.93360811078	59.05	0.547651328948	30619705732.9	31609807794.6	328887937554.0
2.97877622744	57.75	0.540178467533	29871997892.0	31363021386.1	325295518463.0
2.99973053266	57.25	0.542790771825	30085484023.6	32025955342.5	326043559727.0
3.08632998429	55.95	0.633921296586	37687769970.8	39866945230.3	349716543249.0
3.24467528047	52.45	0.561684072771	24103511130.8	24653721262.1	252429019206.0
3.41093862617	46.35	0.529495121491	25796831021.2	31340362100.6	286586332285.0
3.49886876053	43.45	0.476617695063	17293236197.9	17653863202.9	213430847962.0
3.58238850433	41.15	0.542546779213	19248701993.4	19895345515.8	208696582715.0
3.61808126074	40.65	0.57889860342	19464807944.8	20086768289.0	197787435635.0
3.75829015178	39.45	0.642161678873	20597872158.6	21051860370.0	188681383304.0
3.94474158519	36.55	0.643682844828	19682211129.8	20528108725.6	179867637391.0
3.99879089001	35.35	0.608569000884	16939230221.2	17595804539.1	163732511134.0
4.13469718283	32.65	0.590477981552	12936871610.9	13273834742.6	128877362319.0
4.33520581342	31.45	0.541315087538	8701504029.53	8885142595.7	94557345618.4
4.54211704783	25.95	0.566102865258	9307450831.23	9591621168.1	96713361001.9
4.5897773527	25.55	0.531541050646	9085336816.75	9389127875.59	100543801237.0
4.75456433593	25.15	0.55717792097	7631468695.91	7877370736.36	80568505390.0
4.97704555398	24.35	0.399813468802	6059565364.47	6280352048.89	89152829820.2
4.99990783129	24.35	0.389979320124	5977954331.84	6194862034.96	90170005001.5
5.20965913587	23.55	0.598673373102	6020050849.81	6121240389.1	59150891643.8
5.45236541759	21.75	0.841047175458	5694980712.46	5743481664.72	39831162295.6
5.69738608066	17.45	0.535345110482	5435707127.14	5628268343.15	59727355645.2
5.95863860385	16.05	0.613359767381	4456986987.51	4603577188.97	42744196651.0
5.99205169398	15.65	0.473264696229	3096215550.63	3166659349.88	38483818454.9
6.22852080638	14.85	0.46088150792	2405550511.24	2460277034.68	30702679282.6
6.30248473012	14.55	0.501330822596	2431677371.8	2476984224.56	28532026947.6
6.50596008685	13.85	0.522323359648	2430978990.0	2476601505.99	27377439947.2
6.80049492001	12.75	0.604959289153	2403938460.27	2437405102.77	23374819968.4
6.99393306719	11.85	0.695534334637	2458017536.46	2516944158.17	20788228510.2
7.10129015059	11.25	0.664422667251	2135882854.02	2213384578.76	18909675132.5
7.99962985372	7.35	0.768926630441	1018336047.41	1031275859.3	7790355810.91
9.17481517078	6.55	0.599380661889	592050932.137	601241042.022	5810418592.77
9.57956229112	5.95	0.685301420637	495932242.492	499616526.618	4256883755.66
9.97500748091	5.15	0.607400895657	547208574.051	557826518.034	5299422486.9
10.4095603111	4.65	0.798430378168	269775048.642	270813384.121	1987539670.62
10.4669411812	4.55	0.772355742344	274276032.394	275217647.172	2088918794.02
10.8583041007	3.95	0.7656525695	280223304.659	283250464.558	2152898646.22
11.3192462585	2.95	0.59787549325	192610139.418	195272119.563	1895044759.14
11.7896586923	2.75	0.525229366297	117221933.6	119639787.762	1312837457.56
12.2659643069	2.55	0.481438805545	89743053.6889	90815201.6779	1096505536.61
12.7892144195	2.35	0.345760329779	51847703.3028	53041512.9938	882074847.081
13.3167904089	1.95	0.181434951963	16735166.7934	17690579.5837	542575488.036
13.8978799965	1.65	0.528786380677	41234723.2582	41984810.6242	458705451.766
