rbins	clump
1.03575965262	26.1804478802
1.10983646337	13.0357146037
1.18921119615	11.4323336417
1.27426275468	12.1168266024
1.36539714159	8.62399793893
1.46304939653	8.10076838993
1.5676856729	9.42292697578
1.67980546305	7.88664490968
1.79994398271	5.52243543366
1.92867472582	8.8988806793
2.06661220224	7.88905496525
2.21441487114	9.02434456303
2.37278828423	9.92399248454
2.54248845379	10.0095336462
2.72432546158	13.2950517634
2.91916732583	13.2058615313
3.12794414485	12.9732139004
3.35165253691	12.7662603865
3.59136039775	12.1662269538
3.84821199825	11.6943908611
4.12343344678	13.6655620376
4.41833854208	13.552717804
4.73433504492	11.3745862129
5.07293139809	9.41273468762
5.4357439272	8.47662437024
5.82450455632	5.61533670112
6.24106907555	5.18036688536
6.68742599977	4.86435611576
7.1657060611	3.60081799237
7.67819238013	3.12577549604
8.22733136463	3.01044270231
8.81574438779	2.51749257526
9.44624030156	1.95412100878
10.121828845	1.83371958293
10.8457350118	1.62149928234
11.6214144446	1.37771640901
12.4525699316	1.26053190141
13.3431690815	1.16790567434
14.2974632639	1.14213870519
15.3200079031	1.0869625094
16.4156842246	1.07800182451
17.5897225554	1.06861495967
18.8477272918	1.06099205683
20.1957036531	1.05693734152
21.6400863471	1.05506164799
23.1877702879	1.045742761
24.8461435089	1.05957092033
26.6231224305	1.06555994724
28.52718965	1.0759209147
30.5674344342	1.07073203415
32.7535961078	1.07688012908
35.0961105455	1.08085558771
37.6061599882	1.07978791694
40.2957264232	1.06891454082
43.1776487811	1.05859486678
46.2656842237	1.05374990665
49.5745738157	1.05251437872
53.1201128924	1.06608794491
56.9192264607	1.06587720586
60.9900499918	1.08169476722
65.3520159936	1.09674653631
70.0259467733	1.11734216585
75.0341538352	1.17069923025
80.4005443866	1.18160082242
86.1507354618	2.62045212518
92.3121762078	1.62917189204
98.9142789151	1.38443134054
105.988559421	1.31466725835
113.568787554	1.18635113085
121.691148337	1.111083134
130.394414719	1.10586564184
139.720132667	1.1231952389
149.712819483	1.13250807454
160.420176318	1.11982657136
171.893315874	1.09301042704
184.1870064	1.09512527743
197.359933132	3.08361487958
211.474978431	42.5651336053
226.599521963	1.24128431937
242.805762341	1.12768849269
260.171061772	1.19572658665
278.778315353	1.14539692903
298.716346782	1.10005782457
320.080332367	1.10393767671
342.972255358	1.10460346958
367.501392777	1.10567617507
393.784837062	1.12770431222
421.948055022	1.09888946188
452.125486764	1.11424934543
484.461187457	1.16389284846
519.109514999	1.20037223572
556.235866854	1.22090454973
596.017469599	1.21854410696
638.644224935	1.42198750037
684.319616196	1.23509410542
733.261679707	1.28301065585
785.704045597	1.2934277951
841.89705306	1.26078117739
902.108945377	1.27297944343
966.627150398	1.30568975286
