rbins pressure
5.0 0.0259901923099
15.0 0.00801196900826
25.0 0.00381064874535
35.0 0.00215749282462
45.0 0.00138990422823
55.0 0.000932579186167
65.0 0.000649608255576
75.0 0.000437939140953
85.0 0.000317270568615
95.0 0.000215348209391
105.0 0.000160378292961
115.0 0.000130272142753
125.0 0.00010823654791
135.0 9.79749287824e-05
145.0 8.48482638026e-05
155.0 7.73795988573e-05
165.0 7.03164057889e-05
175.0 6.43747452586e-05
185.0 5.99266464957e-05
195.0 5.40396788752e-05
205.0 5.01488861726e-05
215.0 4.80491049564e-05
225.0 4.45536422001e-05
235.0 4.01516497322e-05
245.0 3.70857216246e-05
255.0 3.32432786581e-05
265.0 2.92996480066e-05
275.0 2.57957449811e-05
285.0 2.27418628858e-05
295.0 1.98215704147e-05
305.0 1.72201731979e-05
315.0 1.46384253497e-05
325.0 1.26336344702e-05
335.0 1.15752319164e-05
345.0 1.01822843411e-05
355.0 9.0989008513e-06
365.0 8.12631759156e-06
375.0 7.42041403098e-06
385.0 6.86493570931e-06
395.0 6.348694803e-06
405.0 5.79243412805e-06
415.0 5.24249879751e-06
425.0 4.70553829259e-06
435.0 4.23672301384e-06
445.0 3.88826532964e-06
455.0 3.44615166334e-06
465.0 3.05632406421e-06
475.0 2.72688825893e-06
485.0 2.48151476294e-06
495.0 2.34740348905e-06
505.0 2.10630067947e-06
515.0 1.92117776534e-06
525.0 1.77687552285e-06
535.0 1.6461139045e-06
545.0 1.52977749535e-06
555.0 1.41935382086e-06
565.0 1.31866038292e-06
575.0 1.21942602042e-06
585.0 1.12881179317e-06
595.0 1.05920909522e-06
605.0 9.86825210445e-07
615.0 9.29756220953e-07
625.0 8.74189920507e-07
635.0 8.17843066748e-07
645.0 7.6576768591e-07
655.0 7.20885961986e-07
665.0 6.84249194346e-07
675.0 6.44959523008e-07
685.0 6.16513094713e-07
695.0 5.88295208738e-07
705.0 5.82809362976e-07
715.0 5.42383172168e-07
725.0 5.17907850894e-07
735.0 5.08101123119e-07
745.0 4.75859432176e-07
755.0 4.53300019228e-07
765.0 4.37853811486e-07
775.0 4.14322904616e-07
785.0 3.87918567448e-07
795.0 3.71529237244e-07
805.0 3.5449435194e-07
815.0 3.3713478835e-07
825.0 3.23940244466e-07
835.0 3.08566747732e-07
845.0 2.98716632055e-07
855.0 2.98811678033e-07
865.0 2.71662550177e-07
875.0 2.74424083556e-07
885.0 2.46830032884e-07
895.0 2.45672999335e-07
905.0 2.24885969884e-07
915.0 2.14143245947e-07
925.0 2.00951533571e-07
935.0 1.86804989006e-07
945.0 1.75510948433e-07
955.0 1.66949548637e-07
965.0 1.53015899802e-07
975.0 1.45101920798e-07
985.0 1.33213530815e-07
995.0 1.22155835418e-07
