rbins	entr
5.0	3.26279158221
15.0	5.29878603579
25.0	8.74765253704
35.0	13.1876142129
45.0	18.4784932526
55.0	22.2201767245
65.0	26.3541669739
75.0	33.4368151041
85.0	36.5349317127
95.0	41.3309745897
105.0	46.8015855989
115.0	54.3131056959
125.0	55.5568733725
135.0	57.0542040783
145.0	64.6492530419
155.0	65.456784536
165.0	70.1099070871
175.0	73.0321675066
185.0	77.8163842398
195.0	83.058641691
205.0	85.7086496708
215.0	90.5247494674
225.0	96.8797480975
235.0	102.760286086
245.0	105.444904496
255.0	104.92420921
265.0	104.647621687
275.0	118.088521793
285.0	121.175463754
295.0	129.218498812
305.0	129.620754782
315.0	135.059370827
325.0	167.537164917
335.0	199.620957065
345.0	139.568915598
355.0	139.381914264
365.0	140.31707216
375.0	223.28464277
385.0	153.119748816
395.0	147.30306966
405.0	153.806668374
415.0	159.915177434
425.0	160.39567243
435.0	163.463232223
445.0	161.885988403
455.0	158.593682444
465.0	164.682854944
475.0	164.452744619
485.0	175.326179298
495.0	168.916231231
505.0	171.250500432
515.0	171.399677891
525.0	173.438400942
535.0	176.298761884
545.0	178.372319495
555.0	183.279636258
565.0	187.784163298
575.0	193.45808207
585.0	195.672179731
595.0	199.757954437
605.0	202.814839117
615.0	206.461632054
625.0	206.594747259
635.0	184.063060165
645.0	180.234622309
655.0	224.162792346
665.0	231.702192179
675.0	260.768775346
685.0	267.330127859
695.0	249.735421987
705.0	236.977075421
715.0	259.537836079
725.0	278.935160147
735.0	291.566207823
745.0	311.520402298
755.0	314.782188543
765.0	323.678624104
775.0	332.011063007
785.0	343.625887843
795.0	326.262183775
805.0	301.667894642
815.0	363.872377424
825.0	364.785232803
835.0	371.584610007
845.0	379.181267199
855.0	382.903042631
865.0	388.927721536
875.0	399.782123929
885.0	332.824439714
895.0	328.273949493
905.0	378.58834123
915.0	399.54977372
925.0	405.826206195
935.0	418.903688983
945.0	426.33620469
955.0	438.924386987
965.0	435.03149461
975.0	454.254261378
985.0	453.43099942
995.0	455.422147712
