rbins pressure
5.0 0.0510095868315
15.0 0.0141430039799
25.0 0.0059722053115
35.0 0.00342076080637
45.0 0.0021688709167
55.0 0.00136534330481
65.0 0.000942475835458
75.0 0.000694210709486
85.0 0.000510411236905
95.0 0.000418857007712
105.0 0.000341910059807
115.0 0.000287271953558
125.0 0.000220952594374
135.0 0.000179532252854
145.0 0.000169546559087
155.0 0.000148909582697
165.0 0.00013882733671
175.0 0.000119797145605
185.0 0.000100716147873
195.0 8.74011764669e-05
205.0 7.61030987424e-05
215.0 6.96625852632e-05
225.0 6.51274380408e-05
235.0 5.90313856318e-05
245.0 4.91507012529e-05
255.0 4.25717466781e-05
265.0 3.82843210755e-05
275.0 3.33072647361e-05
285.0 2.91474767034e-05
295.0 2.65419795629e-05
305.0 2.28236648318e-05
315.0 2.06449641571e-05
325.0 2.23962823259e-05
335.0 2.3840560794e-05
345.0 1.49254625871e-05
355.0 1.32928694595e-05
365.0 1.19257596208e-05
375.0 1.69039832508e-05
385.0 1.02453842001e-05
395.0 8.67039320493e-06
405.0 8.03605251651e-06
415.0 7.31833831964e-06
425.0 6.36936772093e-06
435.0 5.49790368113e-06
445.0 4.63665905974e-06
455.0 4.04000838044e-06
465.0 3.7548530268e-06
475.0 3.40814497699e-06
485.0 3.31660696225e-06
495.0 2.9722321521e-06
505.0 2.84419233523e-06
515.0 2.68553510695e-06
525.0 2.57878279679e-06
535.0 2.4977432746e-06
545.0 2.40312091358e-06
555.0 2.32492935359e-06
565.0 2.27529702736e-06
575.0 2.21230281095e-06
585.0 2.14988094664e-06
595.0 2.08929609785e-06
605.0 2.03453664692e-06
615.0 1.97517816557e-06
625.0 1.92439553116e-06
635.0 1.89825923057e-06
645.0 1.84883612766e-06
655.0 1.82035178909e-06
665.0 1.7286402185e-06
675.0 1.78934925897e-06
685.0 1.7275048136e-06
695.0 1.53739683017e-06
705.0 1.5239444655e-06
715.0 1.46975161267e-06
725.0 1.3608103361e-06
735.0 1.29309141467e-06
745.0 1.21370272058e-06
755.0 1.10769203473e-06
765.0 1.00205885083e-06
775.0 9.0866865391e-07
785.0 8.36189870322e-07
795.0 7.24117617103e-07
805.0 6.66013307535e-07
815.0 6.74162910177e-07
825.0 5.69633759786e-07
835.0 4.88384606496e-07
845.0 4.48501108858e-07
855.0 4.07701215542e-07
865.0 3.83284288728e-07
875.0 3.96863361806e-07
885.0 3.39821850778e-07
895.0 3.09950482664e-07
905.0 3.00005019442e-07
915.0 2.72272759645e-07
925.0 2.53896083983e-07
935.0 2.41744403993e-07
945.0 2.28221652485e-07
955.0 2.17790123107e-07
965.0 2.01200053398e-07
975.0 1.96451236236e-07
985.0 1.85101771181e-07
995.0 1.76121853369e-07
