rbins	clump
1.03793638103	nan
1.1166874811	2.93146909606
1.20141364464	1.98127805604
1.29256821623	3.37170074061
1.39063893695	1.601925616
1.49615055412	0.941171968171
1.60966762911	2.22168080647
1.73179755812	1.25734271598
1.86319382218	1.42752305203
2.00455948372	1.28824400499
2.15665094846	0.985609546862
2.32028201271	1.45271129736
2.49632821776	0.980446185056
2.68573153464	1.24648743173
2.88950540432	1.26237265539
3.10874016032	1.05072571218
3.34460886281	1.0996506514
3.59837357523	1.15724377937
3.87139211729	1.04381011878
4.16512533024	1.07346692396
4.48114489335	1.11100162441
4.82114173359	1.03892736758
5.18693507319	1.06966674666
5.5804821638	1.0880448735
6.00388875917	1.04349066601
6.45942038241	1.07619426586
6.94951444811	1.00823966303
7.47679330425	1.04909144617
8.04407826357	1.04296692056
8.65440469963	1.06347652519
9.31103828815	1.04587982421
10.0174924807	1.07236081547
10.7775473041	1.02787632978
11.5952695862	1.03205521507
12.4750347165	1.04062611059
13.4215500572	1.04290028568
14.4398801312	1.02906802741
15.5354737205	1.02638765487
16.7141930215	1.02206060002
17.9823450116	1.0370756379
19.3467151959	1.04075362838
20.8146039146	1.04343023558
22.3938654047	1.0349290032
24.0929498261	1.02791045746
25.9209484755	1.02361244988
27.8876424314	1.02517198806
30.0035548899	1.02564829053
32.280007471	1.03097922299
34.729180797	1.02978557973
37.3641796681	1.03288328174
40.1991031815	1.0431467465
43.249120172	1.04408058867
46.530550376	1.04200004285
50.0609517531	1.04075108753
53.8592144338	1.03869281632
57.9456617951	1.0392584016
62.3421592047	1.04074264121
67.0722310162	1.04001441002
72.1611864407	1.04587737804
77.6362549692	1.04735394232
83.5267320695	1.05300657237
89.8641359372	1.05549825991
96.6823761406	1.05265056277
104.017935061	1.05328880435
111.910063097	1.05071129192
120.400988686	1.04770546746
129.536144252	1.05249383817
139.364409303	1.05961000223
149.938371969	1.06497162705
161.314610389	1.09541446086
173.553995439	1.08081584389
186.722016439	1.0835733941
200.889131563	1.07701900633
216.131144842	2.10666096402
232.529611768	1.26422061285
250.172275672	1.0895841712
269.153537218	1.14572525936
289.574959504	1.10677483845
311.545811504	1.11578268699
335.18365273	1.13113127883
360.614962259	1.14572561691
387.975815485	3.19411612641
417.412612217	1.12504905168
449.082860023	1.12914252419
483.156017005	1.48975774209
519.81439852	1.10199321155
559.254152692	2.9726985196
601.686309949	1.73367691112
647.337912177	6.73100926125
696.453227558	7.04720129238
749.295057576	10.5270830528
806.14614319	1.62451627194
867.310677695	1.22663250433
933.115934373	1.34232221979
1003.91401763	2.06116455014
1080.08374702	9.87218785039
1162.03268416	4.39099742579
1250.19931351	39.3726279419
1345.05538854	1.27300278094
1447.10845599	5.4134453126
