rbins pressure
5.0 0.0289177789264
15.0 0.0102183273498
25.0 0.00503947191178
35.0 0.00310778371063
45.0 0.00199996580026
55.0 0.00137826371879
65.0 0.00105715285963
75.0 0.000779748858048
85.0 0.000591755415429
95.0 0.000470097562828
105.0 0.000380865938269
115.0 0.000306016866617
125.0 0.000246975191461
135.0 0.000203394228899
145.0 0.000171240008236
155.0 0.000145058252379
165.0 0.000123019766621
175.0 0.000104469201007
185.0 8.76187201415e-05
195.0 7.40093261001e-05
205.0 6.34951226154e-05
215.0 5.59133866564e-05
225.0 4.87905046934e-05
235.0 4.41173995004e-05
245.0 3.93204501487e-05
255.0 3.53515911287e-05
265.0 3.20137986096e-05
275.0 2.85933998834e-05
285.0 2.58905810015e-05
295.0 2.34911252901e-05
305.0 2.14197621577e-05
315.0 1.91400054222e-05
325.0 1.68989863191e-05
335.0 1.50376106023e-05
345.0 1.35087306065e-05
355.0 1.22477984647e-05
365.0 1.10135118989e-05
375.0 9.93480699507e-06
385.0 8.99054761033e-06
395.0 8.14917983251e-06
405.0 7.3776667428e-06
415.0 6.74371638183e-06
425.0 6.19706823835e-06
435.0 5.75601655629e-06
445.0 5.37298739699e-06
455.0 5.04029014239e-06
465.0 4.74982015037e-06
475.0 4.46388854333e-06
485.0 4.22421275486e-06
495.0 3.98846189532e-06
505.0 3.77484316366e-06
515.0 3.57543429696e-06
525.0 3.40870821529e-06
535.0 3.23209585544e-06
545.0 3.08817172442e-06
555.0 2.95733457616e-06
565.0 2.83299966472e-06
575.0 2.78554999623e-06
585.0 2.65303729891e-06
595.0 2.60112118058e-06
605.0 2.64724880756e-06
615.0 2.52077546525e-06
625.0 2.29342430087e-06
635.0 2.17405541799e-06
645.0 2.07350718625e-06
655.0 1.98491151751e-06
665.0 1.90218057593e-06
675.0 1.82457702347e-06
685.0 1.7668493687e-06
695.0 1.70472294831e-06
705.0 1.65654612043e-06
715.0 1.62950372189e-06
725.0 1.56168374374e-06
735.0 1.53486610093e-06
745.0 1.45883126266e-06
755.0 1.39188195169e-06
765.0 1.32553699762e-06
775.0 1.26323987357e-06
785.0 1.20071162221e-06
795.0 1.14498969804e-06
805.0 1.0818878223e-06
815.0 1.03875450444e-06
825.0 9.9261680952e-07
835.0 9.43875952739e-07
845.0 8.90878417151e-07
855.0 8.46798850157e-07
865.0 8.02339355389e-07
875.0 7.51857447158e-07
885.0 6.78539609744e-07
895.0 6.40745042147e-07
905.0 5.68141915835e-07
915.0 5.27297341202e-07
925.0 4.96241899988e-07
935.0 4.6286917732e-07
945.0 4.47845513281e-07
955.0 4.19342800589e-07
965.0 4.03283499014e-07
975.0 3.8415400228e-07
985.0 3.68641679294e-07
995.0 3.51570336076e-07
