rbins	density
5.0	0.192156496959
15.0	0.0414431754081
25.0	0.013799397273
35.0	0.00732587836152
45.0	0.00509205463953
55.0	0.00395214085514
65.0	0.00290243671853
75.0	0.00223648322588
85.0	0.00175392849068
95.0	0.00139774216305
105.0	0.00114191551176
115.0	0.000919957593381
125.0	0.000747758072163
135.0	0.000627903681715
145.0	0.000539278106712
155.0	0.000465472330812
165.0	0.000404332417656
175.0	0.000359536963644
185.0	0.000328885651876
195.0	0.000302378413407
205.0	0.000280516913624
215.0	0.000261375462344
225.0	0.000241330194582
235.0	0.000218105084239
245.0	0.000193459839409
255.0	0.000171282343032
265.0	0.000153051122184
275.0	0.00013898358307
285.0	0.000127694164009
295.0	0.000119638066454
305.0	0.000114820469306
315.0	0.000103788584458
325.0	9.29636045771e-05
335.0	8.48111620757e-05
345.0	7.84444976371e-05
355.0	7.31818544271e-05
365.0	6.85894133316e-05
375.0	6.43365805164e-05
385.0	6.05621091392e-05
395.0	5.75351403005e-05
405.0	5.48575461055e-05
415.0	5.2686011525e-05
425.0	5.07498898999e-05
435.0	4.91883266441e-05
445.0	4.77018450906e-05
455.0	4.6198602983e-05
465.0	4.46212474929e-05
475.0	4.33142092703e-05
485.0	4.16270352285e-05
495.0	3.97965590645e-05
505.0	3.82201461628e-05
515.0	3.64645482996e-05
525.0	3.55211879532e-05
535.0	3.31162677568e-05
545.0	3.12128280101e-05
555.0	2.96081665164e-05
565.0	2.79660821484e-05
575.0	2.64762384917e-05
585.0	2.50318561317e-05
595.0	2.36840897226e-05
605.0	2.24694044277e-05
615.0	2.13607464516e-05
625.0	2.04050471324e-05
635.0	1.94592854189e-05
645.0	1.8577325821e-05
655.0	1.77692505874e-05
665.0	1.70123323333e-05
675.0	1.63463625583e-05
685.0	1.56586968268e-05
695.0	1.50497977501e-05
705.0	1.44785564145e-05
715.0	1.39377886784e-05
725.0	1.34978419141e-05
735.0	1.37723000304e-05
745.0	1.40952735209e-05
755.0	1.22268409292e-05
765.0	1.16271592602e-05
775.0	1.11729550711e-05
785.0	1.08381114539e-05
795.0	1.10373687913e-05
805.0	1.05274224496e-05
815.0	9.83248429628e-06
825.0	9.47276551265e-06
835.0	9.12770050167e-06
845.0	8.76041311171e-06
855.0	8.46301179761e-06
865.0	8.19842330601e-06
875.0	8.04491116637e-06
885.0	7.62983207251e-06
895.0	7.42234872347e-06
905.0	7.20870964674e-06
915.0	6.91379291674e-06
925.0	6.66394200907e-06
935.0	6.44965294205e-06
945.0	6.25645279751e-06
955.0	6.02259820192e-06
965.0	5.86914240484e-06
975.0	5.70740882194e-06
985.0	5.53529988635e-06
995.0	5.33962066122e-06
