rbins	met
5.0	2.23373551429
15.0	0.869005524398
25.0	0.710889796443
35.0	0.702607396015
45.0	0.623014567782
55.0	0.640640327598
65.0	0.632825912302
75.0	0.581723834942
85.0	0.567417076686
95.0	0.522058422588
105.0	0.488585897236
115.0	0.441520214516
125.0	0.392905603744
135.0	0.351970593622
145.0	0.316113242572
155.0	0.292282111611
165.0	0.273266378373
175.0	0.259513209228
185.0	0.244521367229
195.0	0.266313935263
205.0	0.582496714726
215.0	0.348427174628
225.0	0.238165724353
235.0	0.216373216778
245.0	0.210027696793
255.0	0.206261581875
265.0	0.200004575018
275.0	0.193989166434
285.0	0.194019294719
295.0	0.191357281013
305.0	0.19059245983
315.0	0.192601190977
325.0	0.189151842893
335.0	0.184092532485
345.0	0.179875918031
355.0	0.175509666571
365.0	0.16716268001
375.0	0.161019935847
385.0	0.159348108028
395.0	0.167328762459
405.0	0.165869861603
415.0	0.157339605672
425.0	0.159346911687
435.0	0.159258551786
445.0	0.162312003095
455.0	0.166625613914
465.0	0.168723410834
475.0	0.173564938265
485.0	0.176155030075
495.0	0.180083624607
505.0	0.183129122865
515.0	0.181613051391
525.0	0.177499450658
535.0	0.175219910855
545.0	0.175815197235
555.0	0.176064297461
565.0	0.174329132847
575.0	0.173987204934
585.0	0.172073517425
595.0	0.170663127627
605.0	0.166452318334
615.0	0.163720222674
625.0	0.162227066764
635.0	0.163560598516
645.0	0.171081193267
655.0	0.163916667549
665.0	0.15928136612
675.0	0.154049596089
685.0	0.14973537241
695.0	0.146745188282
705.0	0.145051975608
715.0	0.145025185137
725.0	0.149121374206
735.0	0.141019248072
745.0	0.135378024259
755.0	0.130843336428
765.0	0.129095520571
775.0	0.126036268927
785.0	0.121807422078
795.0	0.119999030512
805.0	0.117771714597
815.0	0.115565964359
825.0	0.111665181524
835.0	0.110489583907
845.0	0.1088047678
855.0	0.107510155348
865.0	0.105275327349
875.0	0.105163247536
885.0	0.104783157235
895.0	0.105234543773
905.0	0.105128746159
915.0	0.106284425952
925.0	0.103159783407
935.0	0.0979899009199
945.0	0.096328417832
955.0	0.0937916566882
965.0	0.0930879108942
975.0	0.0914520383705
985.0	0.0866499354733
995.0	0.0820408283984
