rbins	hotdensity
5.0	0.0408928455634
15.0	0.0165896741939
25.0	0.00830103720176
35.0	0.0045961778782
45.0	0.00314727787621
55.0	0.00219491024884
65.0	0.00151583180963
75.0	0.0009455549526
85.0	0.000547471035091
95.0	0.000246148426531
105.0	0.000116910678061
115.0	7.31496561677e-05
125.0	5.15112173635e-05
135.0	4.13106375038e-05
145.0	3.49304731855e-05
155.0	3.50756875444e-05
165.0	4.02502056091e-05
175.0	4.30735898229e-05
185.0	4.04885031056e-05
195.0	4.02746485081e-05
205.0	4.04064334293e-05
215.0	4.05703330002e-05
225.0	3.85961620502e-05
235.0	3.49989445522e-05
245.0	3.10323091226e-05
255.0	2.32800700566e-05
265.0	1.76181715862e-05
275.0	1.41966210087e-05
285.0	1.18895005469e-05
295.0	1.01126624583e-05
305.0	8.36404147828e-06
315.0	5.44883662482e-06
325.0	3.41193585269e-06
335.0	2.96663873668e-06
345.0	2.42032240292e-06
355.0	1.80382486479e-06
365.0	9.45684996976e-07
375.0	7.35359118385e-07
385.0	6.24326767382e-07
395.0	5.31518158813e-07
405.0	4.31425890357e-07
415.0	3.88518840305e-07
425.0	3.46939531713e-07
435.0	3.32546760215e-07
445.0	2.67790828363e-07
455.0	2.13043634606e-07
465.0	1.60473219428e-07
475.0	1.2132674531e-07
485.0	9.98919596532e-08
495.0	7.65390438657e-08
505.0	5.36381384809e-08
515.0	3.99335127015e-08
525.0	2.794679718e-08
535.0	2.74144473715e-08
545.0	1.8329402967e-08
555.0	2.40055959435e-08
565.0	2.22618041216e-08
575.0	2.04696382222e-08
585.0	2.07446915103e-08
595.0	1.89322074113e-08
605.0	1.9581752716e-08
615.0	2.31428609893e-08
625.0	2.28488263315e-08
635.0	1.83622497393e-08
645.0	1.10040718803e-08
655.0	1.09746079479e-08
665.0	1.04540347276e-08
675.0	5.95588785246e-09
685.0	6.31036912503e-09
695.0	4.15888621006e-09
705.0	8.08836374849e-09
715.0	6.79592063157e-09
725.0	5.88659436855e-09
735.0	8.01325061095e-09
745.0	8.53119130637e-09
755.0	3.68202063145e-09
765.0	5.02293976278e-09
775.0	3.64607721532e-09
785.0	3.11291946212e-09
795.0	3.532711126e-09
805.0	5.89686727048e-09
815.0	7.36487147347e-09
825.0	6.68309179157e-09
835.0	4.61478796989e-09
845.0	8.22568379098e-09
855.0	6.49705088532e-09
865.0	8.32561154372e-09
875.0	7.3665203437e-09
885.0	5.67303395199e-09
895.0	7.87061180218e-09
905.0	7.47624602233e-09
915.0	7.93148719111e-09
925.0	5.0772701864e-09
935.0	5.45003656018e-09
945.0	5.46808051417e-09
955.0	6.10868448712e-09
965.0	4.31547474405e-09
975.0	4.89221052443e-09
985.0	4.82700685902e-09
995.0	4.19313037253e-09
