rbins	density
5.0	0.0410833454982
15.0	0.016896401168
25.0	0.00922283177727
35.0	0.00559590046977
45.0	0.00371709437396
55.0	0.00255833626394
65.0	0.00184668152059
75.0	0.00136663408572
85.0	0.00103429522832
95.0	0.000774229937212
105.0	0.000607478480573
115.0	0.000507371955388
125.0	0.000434316058422
135.0	0.000378419061601
145.0	0.000332380155839
155.0	0.000297747470401
165.0	0.000269726914548
175.0	0.000241726502005
185.0	0.000219085622456
195.0	0.000200732767873
205.0	0.000184928600736
215.0	0.000171657099705
225.0	0.000160410271908
235.0	0.000151259080679
245.0	0.000150984214269
255.0	0.000135465514497
265.0	0.000118217299585
275.0	0.000107043519646
285.0	9.67308853472e-05
295.0	8.68595961345e-05
305.0	7.76322615849e-05
315.0	6.98614525879e-05
325.0	6.29708846957e-05
335.0	5.76031447911e-05
345.0	5.30959210974e-05
355.0	5.01595913797e-05
365.0	4.89960119557e-05
375.0	4.38418482277e-05
385.0	4.11674706374e-05
395.0	3.86655458807e-05
405.0	3.63206763762e-05
415.0	3.36513175705e-05
425.0	3.1205818169e-05
435.0	2.88602866834e-05
445.0	2.64931748269e-05
455.0	2.43902218936e-05
465.0	2.25639294303e-05
475.0	2.10352704873e-05
485.0	1.96409745678e-05
495.0	1.84453697726e-05
505.0	1.76645211184e-05
515.0	1.66727667486e-05
525.0	1.56295874313e-05
535.0	1.46571711821e-05
545.0	1.39300842631e-05
555.0	1.3161111989e-05
565.0	1.24818933431e-05
575.0	1.18288466093e-05
585.0	1.11797422151e-05
595.0	1.06871243581e-05
605.0	1.02053360194e-05
615.0	9.75802100484e-06
625.0	9.33331576081e-06
635.0	8.8979945557e-06
645.0	8.49270756349e-06
655.0	8.05924121612e-06
665.0	7.69842024221e-06
675.0	7.36852292323e-06
685.0	7.08156559198e-06
695.0	6.80378213381e-06
705.0	6.51989060735e-06
715.0	6.25567372211e-06
725.0	6.0537746732e-06
735.0	5.8352023618e-06
745.0	5.60724586621e-06
755.0	5.42257514199e-06
765.0	5.17610620766e-06
775.0	4.98144247564e-06
785.0	4.76250498867e-06
795.0	4.58909897942e-06
805.0	4.41162500033e-06
815.0	4.22878285329e-06
825.0	4.12960391127e-06
835.0	3.99006796389e-06
845.0	3.91804050565e-06
855.0	3.86390663543e-06
865.0	3.69822634046e-06
875.0	3.47793148457e-06
885.0	3.29208953726e-06
895.0	3.14857517678e-06
905.0	3.01173258998e-06
915.0	2.88816135647e-06
925.0	2.79313310325e-06
935.0	2.6547510242e-06
945.0	2.52273999934e-06
955.0	2.44163042744e-06
965.0	2.3167277514e-06
975.0	2.22655941874e-06
985.0	2.11672665662e-06
995.0	2.02084370339e-06
