rbins	entr
5.0	0.611562558328
15.0	3.1377667909
25.0	8.72571041333
35.0	13.8142554013
45.0	17.6454255612
55.0	19.3099076005
65.0	24.4945033958
75.0	28.2736674372
85.0	32.4445305972
95.0	38.3674750468
105.0	43.9334225583
115.0	48.2751871777
125.0	55.0146029966
135.0	56.3564330501
145.0	62.107224075
155.0	69.1103508626
165.0	71.3807906702
175.0	76.3894091684
185.0	80.0666718825
195.0	90.7062989882
205.0	90.8802430129
215.0	97.7371278115
225.0	102.210655077
235.0	108.815738357
245.0	116.627126534
255.0	128.457326888
265.0	124.824276167
275.0	131.150601177
285.0	130.854675617
295.0	134.96948741
305.0	133.500481184
315.0	132.462230167
325.0	143.065007877
335.0	150.518498644
345.0	153.344841674
355.0	166.578224976
365.0	161.518495828
375.0	164.478237277
385.0	167.161221578
395.0	169.329958857
405.0	171.538161352
415.0	173.398521261
425.0	174.271066049
435.0	175.245902633
445.0	176.809739264
455.0	179.859358841
465.0	182.707934108
475.0	185.441202439
485.0	189.756001152
495.0	194.608996589
505.0	197.512735017
515.0	202.381837634
525.0	200.947046953
535.0	210.970036631
545.0	217.093667362
555.0	222.295116218
565.0	227.855846491
575.0	233.127555196
585.0	239.801127917
595.0	248.186090036
605.0	255.5687998
615.0	261.665812231
625.0	266.760742718
635.0	272.613139579
645.0	278.238362273
655.0	283.560189669
665.0	287.73735547
675.0	293.24154602
685.0	298.264217199
695.0	303.693354011
705.0	309.290819715
715.0	311.766635642
725.0	311.312147583
735.0	286.480833696
745.0	262.713258433
755.0	312.559533629
765.0	323.351679773
775.0	331.015780966
785.0	330.742212031
795.0	308.891564693
805.0	319.647965171
815.0	340.767635259
825.0	345.013667315
835.0	350.097876148
845.0	355.125326202
855.0	361.654360747
865.0	364.160789075
875.0	360.681044085
885.0	381.871447332
895.0	381.861301938
905.0	383.060467077
915.0	393.42796207
925.0	403.931867196
935.0	410.978902772
945.0	414.412685563
955.0	421.548725061
965.0	428.509944238
975.0	424.86044453
985.0	436.605698602
995.0	438.337838045
