rbins	hotdensity
5.0	0.0417152778529
15.0	0.0225351804565
25.0	0.012513999563
35.0	0.00706293355169
45.0	0.00483675888894
55.0	0.00375172866278
65.0	0.00281011335714
75.0	0.00217847691933
85.0	0.00171390932436
95.0	0.00137579877065
105.0	0.00112223389186
115.0	0.000884563414182
125.0	0.000696249819062
135.0	0.00057062159525
145.0	0.000489869991699
155.0	0.000427062680524
165.0	0.000373527083564
175.0	0.000334433171637
185.0	0.000306062208364
195.0	0.000283945062864
205.0	0.000264536605663
215.0	0.000245088030065
225.0	0.000221671395033
235.0	0.00019210112273
245.0	0.000159487224074
255.0	0.000128980429728
265.0	0.000105084000659
275.0	8.79283320981e-05
285.0	7.55710592981e-05
295.0	6.43457933733e-05
305.0	5.22348853796e-05
315.0	4.30108645782e-05
325.0	3.54981834882e-05
335.0	3.03821273335e-05
345.0	2.64602756955e-05
355.0	2.31173294067e-05
365.0	1.986565513e-05
375.0	1.65986712643e-05
385.0	1.37187079834e-05
395.0	1.16025098393e-05
405.0	1.00552665693e-05
415.0	8.81249694166e-06
425.0	7.89105297461e-06
435.0	7.22981645931e-06
445.0	6.67032859235e-06
455.0	6.36305073371e-06
465.0	6.03533994835e-06
475.0	5.79906546707e-06
485.0	5.57032816904e-06
495.0	5.37669652863e-06
505.0	5.13673621218e-06
515.0	4.8798512948e-06
525.0	4.50942751696e-06
535.0	4.21033360183e-06
545.0	3.84205419157e-06
555.0	3.50009502346e-06
565.0	3.19164611978e-06
575.0	2.90316902157e-06
585.0	2.65964248325e-06
595.0	2.47632442568e-06
605.0	2.2579741451e-06
615.0	1.99789041341e-06
625.0	1.77852349153e-06
635.0	1.57103655603e-06
645.0	1.37890354861e-06
655.0	1.2302877407e-06
665.0	1.10923049744e-06
675.0	1.01167899151e-06
685.0	9.20304464946e-07
695.0	8.60153217986e-07
705.0	7.97954808459e-07
715.0	7.31657322363e-07
725.0	6.48271536153e-07
735.0	5.840192329e-07
745.0	5.11129484103e-07
755.0	4.4458151784e-07
765.0	4.0839391284e-07
775.0	3.72656996955e-07
785.0	3.38422283599e-07
795.0	3.13102408399e-07
805.0	2.83621890316e-07
815.0	2.54662601345e-07
825.0	2.40114691955e-07
835.0	2.16678103621e-07
845.0	2.01525468869e-07
855.0	2.02935058225e-07
865.0	1.87948222563e-07
875.0	1.81494986325e-07
885.0	1.8827028499e-07
895.0	1.83404186427e-07
905.0	1.69021247524e-07
915.0	1.56096156312e-07
925.0	1.49709534676e-07
935.0	1.42904792028e-07
945.0	1.33442501486e-07
955.0	1.29939669323e-07
965.0	1.21552912559e-07
975.0	1.16213998163e-07
985.0	1.05647485611e-07
995.0	1.03224832376e-07
