rbins	entr
5.0	1.51677599027
15.0	8.99441762297
25.0	12.4774017292
35.0	15.6915726654
45.0	19.8692362164
55.0	24.9136654247
65.0	29.673945335
75.0	34.3136370324
85.0	36.653941362
95.0	39.1843740498
105.0	43.4530332372
115.0	48.7739072961
125.0	54.2431539635
135.0	62.065996266
145.0	69.7770328152
155.0	77.720015838
165.0	83.0372442712
175.0	88.6596835035
185.0	95.5031079507
195.0	99.5315589789
205.0	94.7112353131
215.0	106.07753744
225.0	116.286840659
235.0	125.387644772
245.0	128.258629399
255.0	135.430519929
265.0	139.497170933
275.0	142.808756089
285.0	147.004570291
295.0	152.958357507
305.0	158.535470503
315.0	162.160403643
325.0	174.830389757
335.0	173.550627613
345.0	181.660061065
355.0	189.317889446
365.0	197.085841424
375.0	204.31549323
385.0	209.611031063
395.0	214.48497802
405.0	214.931938282
415.0	233.367801783
425.0	293.859305118
435.0	240.018459193
445.0	242.059850008
455.0	254.874000037
465.0	303.060698037
475.0	268.863627818
485.0	278.291095335
495.0	292.703376392
505.0	274.747606648
515.0	283.738214271
525.0	281.030989828
535.0	288.189018772
545.0	287.397061289
555.0	297.284624151
565.0	288.55763027
575.0	301.241676999
585.0	310.611160185
595.0	298.683069106
605.0	303.25635697
615.0	305.779846664
625.0	304.567826141
635.0	333.923447526
645.0	315.834775108
655.0	317.359701762
665.0	326.774939928
675.0	338.086391669
685.0	417.666738525
695.0	372.556074125
705.0	346.128498301
715.0	395.208445205
725.0	391.577332101
735.0	327.703978676
745.0	425.554390398
755.0	399.363338842
765.0	396.595758685
775.0	367.96998183
785.0	332.093902056
795.0	380.646013768
805.0	390.814235449
815.0	357.523601316
825.0	348.520782498
835.0	363.343624571
845.0	363.746806821
855.0	386.154673
865.0	383.535079032
875.0	379.216684859
885.0	432.731966746
895.0	390.037586802
905.0	401.647654217
915.0	492.138611765
925.0	402.458207872
935.0	434.7656366
945.0	457.71952074
955.0	414.0279971
965.0	419.223580985
975.0	414.957055101
985.0	410.27975413
995.0	427.011853083
