rbins	temp
5.0	0.566979370597
15.0	0.625997852468
25.0	0.596018845361
35.0	0.575278601701
45.0	0.538175779726
55.0	0.502403759699
65.0	0.464979396524
75.0	0.428082069271
85.0	0.401312564345
95.0	0.387251077931
105.0	0.374976421605
115.0	0.363894784764
125.0	0.355925040559
135.0	0.350090327586
145.0	0.347451078151
155.0	0.342652282279
165.0	0.337222385539
175.0	0.332371171502
185.0	0.320787327893
195.0	0.307707915166
205.0	0.297665488361
215.0	0.292447824468
225.0	0.283546792715
235.0	0.281902220345
245.0	0.274276650107
255.0	0.268933883584
265.0	0.266257889802
275.0	0.258237699439
285.0	0.253123323088
295.0	0.248713677514
305.0	0.245011923431
315.0	0.23689859026
325.0	0.227342022695
335.0	0.220916024387
345.0	0.211730264718
355.0	0.198801487283
365.0	0.196798798467
375.0	0.19709570818
385.0	0.192794690682
395.0	0.188025876211
405.0	0.183965855766
415.0	0.179954060423
425.0	0.176902583229
435.0	0.174430649346
445.0	0.171541564265
455.0	0.168999080954
465.0	0.166265216896
475.0	0.163748452793
485.0	0.154382794102
495.0	0.153347210826
505.0	0.159641529762
515.0	0.158805226987
525.0	0.155168238332
535.0	0.157960415513
545.0	0.158922063804
555.0	0.159543518274
565.0	0.159496779729
575.0	0.161203614481
585.0	0.156785395459
595.0	0.149690492934
605.0	0.124260500847
615.0	0.133861335244
625.0	0.151873910549
635.0	0.154359676782
645.0	0.15476428122
655.0	0.156015367269
665.0	0.156732438113
675.0	0.156376161039
685.0	0.157772446693
695.0	0.158577432475
705.0	0.160622479565
715.0	0.164295627285
725.0	0.162676934308
735.0	0.166268978182
745.0	0.163676493878
755.0	0.163016235906
765.0	0.160994000899
775.0	0.153072827726
785.0	0.153783573052
795.0	0.155492972575
805.0	0.155283842966
815.0	0.15508586782
825.0	0.153980535644
835.0	0.151546245187
845.0	0.148659468065
855.0	0.143103214991
865.0	0.142561925445
875.0	0.142694162283
885.0	0.136463026962
895.0	0.137335861462
905.0	0.129447331224
915.0	0.126421380862
925.0	0.124347308638
935.0	0.120971343538
945.0	0.11999625722
955.0	0.115480727105
965.0	0.111099628945
975.0	0.102453772565
985.0	0.105631600574
995.0	0.10766129008
