rbins	entr
5.0	5.31332633057
15.0	7.20137743349
25.0	9.39489159289
35.0	12.2320540379
45.0	15.5828023941
55.0	19.4875095127
65.0	23.3703309939
75.0	26.0211616969
85.0	29.9931618998
95.0	32.9881528328
105.0	36.8067459224
115.0	40.3621345855
125.0	43.4541027532
135.0	49.4872456285
145.0	53.200757354
155.0	58.2835960864
165.0	62.4476629144
175.0	68.6291169763
185.0	75.2656550091
195.0	78.5263909465
205.0	83.5451325313
215.0	90.6252083554
225.0	94.079771626
235.0	93.5048848814
245.0	86.6271770281
255.0	93.0370501386
265.0	102.894938499
275.0	106.892550755
285.0	111.570856106
295.0	116.352320744
305.0	121.889730879
315.0	123.527886225
325.0	126.754090229
335.0	134.726401834
345.0	135.751078461
355.0	133.372292482
365.0	123.868032138
375.0	136.127764992
385.0	139.866218656
395.0	143.596616443
405.0	145.41344311
415.0	149.463409289
425.0	152.130638938
435.0	156.025531423
445.0	165.145172863
455.0	167.999556134
465.0	169.632155085
475.0	170.119399307
485.0	173.558201491
495.0	182.29529898
505.0	175.799345566
515.0	176.558282008
525.0	181.863054509
535.0	187.51799466
545.0	189.687492347
555.0	193.465277322
565.0	196.335506261
575.0	198.572052284
585.0	201.945984474
595.0	204.274236687
605.0	205.523452991
615.0	208.656945335
625.0	211.290123269
635.0	214.050583882
645.0	216.614115013
655.0	222.523719638
665.0	227.970299713
675.0	231.152393483
685.0	236.080528433
695.0	240.811920127
705.0	256.129344726
715.0	255.377555147
725.0	257.558215641
735.0	268.652128202
745.0	268.882590105
755.0	270.838108902
765.0	282.698716213
775.0	285.154618511
785.0	287.749665838
795.0	293.166238359
805.0	298.729655563
815.0	304.867592263
825.0	304.755047992
835.0	307.408096046
845.0	306.768809929
855.0	314.065230974
865.0	307.166578867
875.0	343.732438473
885.0	338.801457699
895.0	363.217960979
905.0	358.042857218
915.0	365.596441528
925.0	362.748204621
935.0	367.013587063
945.0	375.419411346
955.0	377.096095024
965.0	377.234634226
975.0	382.192956603
985.0	381.745307798
995.0	378.175168441
