rbins	met
7.5	0.81015330884
22.5	0.713959967632
37.5	0.718474554301
52.5	0.680887315996
67.5	0.615660440986
82.5	0.584508506266
97.5	0.578152350644
112.5	0.564512169538
127.5	0.543847335442
142.5	0.514154739056
157.5	0.500909918133
172.5	0.443167656118
187.5	0.418761158751
202.5	0.400870549667
217.5	0.443376086455
232.5	0.405718766145
247.5	0.378423301642
262.5	0.367823005219
277.5	0.356225317988
292.5	0.352454795304
307.5	0.346051326609
322.5	0.340133492664
337.5	0.331969156779
352.5	0.322013196939
367.5	0.316310151794
382.5	0.323041762951
397.5	0.305304051943
412.5	0.300875205106
427.5	0.302141404964
442.5	0.301127278399
457.5	0.296917441387
472.5	0.330742950068
487.5	0.267349600149
502.5	0.26429004191
517.5	0.260442010169
532.5	0.256623791895
547.5	0.250781000788
562.5	0.244848174723
577.5	0.258779508759
592.5	0.247240259608
607.5	0.250081948336
622.5	0.263891469038
637.5	0.267028520737
652.5	0.252138502635
667.5	0.278462063376
682.5	0.261392241316
697.5	0.325973350892
712.5	0.271108449944
727.5	0.288777463465
742.5	0.284520621711
757.5	0.361858606493
772.5	0.249492406446
787.5	0.217829365962
802.5	0.207956432852
817.5	0.205870171892
832.5	0.197966844658
847.5	0.195599451303
862.5	0.18994711734
877.5	0.187918637831
892.5	0.188025485817
907.5	0.188265402667
922.5	0.207715071549
937.5	0.182884385808
952.5	0.180800003863
967.5	0.184045822225
982.5	0.178988143922
997.5	0.164572567484
1012.5	0.170270807045
1027.5	0.159343271957
1042.5	0.158775957226
1057.5	0.198184501357
1072.5	0.235091040416
1087.5	0.168149046221
1102.5	0.15996151488
1117.5	0.175728523982
1132.5	0.177712690255
1147.5	0.151193254278
1162.5	0.143488043703
1177.5	0.13893933715
1192.5	0.136959282544
1207.5	0.141059798191
1222.5	0.193434271809
1237.5	0.209886931938
1252.5	0.147931712701
1267.5	0.129284778167
1282.5	0.125322386829
1297.5	0.123393539643
1312.5	0.122534954479
1327.5	0.11734021155
1342.5	0.113208326126
1357.5	0.109994395157
1372.5	0.106444529908
1387.5	0.103509628358
1402.5	0.0996718790175
1417.5	0.0972432134837
1432.5	0.131624937313
1447.5	0.115212290959
1462.5	0.0937222392792
1477.5	0.0915514437255
1492.5	0.0900405348473
