rbins	hotentr
5.0	7.88957302913
15.0	9.88913427452
25.0	14.3999503646
35.0	18.7202247559
45.0	22.5130390236
55.0	25.9561382904
65.0	27.9406495306
75.0	31.5597705779
85.0	34.1025015977
95.0	36.5081656487
105.0	41.8320005487
115.0	47.0528886405
125.0	54.5024676758
135.0	61.5619514911
145.0	69.5531864061
155.0	77.3407453408
165.0	86.1614986696
175.0	97.4172431834
185.0	112.767016144
195.0	132.568849257
205.0	156.184758877
215.0	194.077911853
225.0	227.066180702
235.0	270.349002569
245.0	315.692883395
255.0	376.018081892
265.0	457.948965577
275.0	529.475425692
285.0	655.178932803
295.0	792.51107793
305.0	987.893869833
315.0	1097.88553434
325.0	1191.55721846
335.0	1517.16611445
345.0	1884.22098965
355.0	2505.862324
365.0	2714.98359854
375.0	2845.71096683
385.0	3172.85503615
395.0	3876.22772736
405.0	4995.1443829
415.0	5253.00879305
425.0	6032.92018789
435.0	7655.28778904
445.0	8019.82173405
455.0	7891.07131772
465.0	8844.85340307
475.0	10599.5356469
485.0	9599.39398254
495.0	9159.81324181
505.0	9626.41590164
515.0	9615.86439945
525.0	10112.283149
535.0	10624.7085823
545.0	11268.1169292
555.0	11894.2637069
565.0	11298.6057763
575.0	20246.5238072
585.0	12025.8827612
595.0	11417.972028
605.0	10375.235714
615.0	13998.5831447
625.0	9988.11976831
635.0	10438.0886442
645.0	10170.3264282
655.0	10280.9332256
665.0	9539.79715116
675.0	9729.92480257
685.0	9700.91177153
695.0	9605.00316481
705.0	9412.49858527
715.0	11684.4915661
725.0	9147.65853072
735.0	12089.5746457
745.0	8637.30376652
755.0	8737.76560615
765.0	8825.49160114
775.0	9420.1395331
785.0	9158.85165293
795.0	9327.23266382
805.0	9872.56173993
815.0	10576.0690427
825.0	11189.7603187
835.0	10723.8005108
845.0	11594.6115579
855.0	12430.7619006
865.0	12321.1766938
875.0	14949.9557425
885.0	15168.1369745
895.0	25456.5112499
905.0	18619.9228079
915.0	19965.9915942
925.0	22816.0878529
935.0	22437.1123763
945.0	29073.9435559
955.0	24262.6864312
965.0	24214.3946549
975.0	25597.9283211
985.0	27822.2451544
995.0	29662.335646
