rbins dm star gas
427.5 4.56126050475e+13 2.61103560993e+12 5.86451482876e+12
432.5 4.60794673806e+13 2.61894684009e+12 5.93913445228e+12
437.5 4.65474730441e+13 2.62416389478e+12 6.01368882886e+12
442.5 4.70068687843e+13 2.62704330913e+12 6.08830348768e+12
447.5 4.74713160986e+13 2.63373128793e+12 6.16270909967e+12
452.5 4.79304282751e+13 2.63736792851e+12 6.23705214389e+12
457.5 4.83961137536e+13 2.64407623047e+12 6.31128618862e+12
462.5 4.88620331176e+13 2.64988022089e+12 6.38555165372e+12
467.5 4.93320731122e+13 2.66272303229e+12 6.46143202412e+12
472.5 4.98006045413e+13 2.67692601702e+12 6.53719216722e+12
477.5 5.02435386541e+13 2.67929925837e+12 6.61033667717e+12
482.5 5.06789080852e+13 2.6809422186e+12 6.68290192707e+12
487.5 5.11138099475e+13 2.68253744222e+12 6.75507054707e+12
492.5 5.15437416265e+13 2.68419039389e+12 6.82695653341e+12
497.5 5.19706434045e+13 2.68591467125e+12 6.89845720648e+12
502.5 5.2397789955e+13 2.68813331708e+12 6.96952925315e+12
507.5 5.28234398376e+13 2.68967335143e+12 7.04036114896e+12
512.5 5.32512699758e+13 2.69175966904e+12 7.1107702793e+12
517.5 5.36822827325e+13 2.70128458623e+12 7.18088184647e+12
522.5 5.41075391666e+13 2.70331640996e+12 7.25059119691e+12
527.5 5.45296436031e+13 2.70468336749e+12 7.31995894089e+12
532.5 5.49504687692e+13 2.70607942559e+12 7.38903296142e+12
537.5 5.53762554826e+13 2.70787981405e+12 7.45778136238e+12
542.5 5.5818604784e+13 2.71751685757e+12 7.52612985066e+12
547.5 5.6263952798e+13 2.72591216575e+12 7.59416342325e+12
552.5 5.67082116786e+13 2.7287006743e+12 7.66188707521e+12
557.5 5.71660439822e+13 2.73646478673e+12 7.72916648098e+12
562.5 5.76485336287e+13 2.76135032616e+12 7.7962174014e+12
567.5 5.81380818903e+13 2.7815626233e+12 7.86296361551e+12
572.5 5.8617920494e+13 2.78537399378e+12 7.9296225004e+12
577.5 5.91159199129e+13 2.79835977419e+12 7.99732570175e+12
582.5 5.95963279017e+13 2.80176695922e+12 8.06355885831e+12
587.5 6.00678538548e+13 2.80436030683e+12 8.12942779238e+12
592.5 6.05369089971e+13 2.80844808834e+12 8.19500398396e+12
597.5 6.10031269043e+13 2.81276680947e+12 8.26040430652e+12
602.5 6.14730718161e+13 2.82639734591e+12 8.32562840495e+12
607.5 6.19352596802e+13 2.82910841883e+12 8.39085762406e+12
612.5 6.2394940947e+13 2.83137947372e+12 8.45614383418e+12
617.5 6.28673845257e+13 2.83523565612e+12 8.5215337665e+12
622.5 6.33606349024e+13 2.84299523505e+12 8.58733963258e+12
627.5 6.3873825371e+13 2.85803862319e+12 8.65420356141e+12
632.5 6.44098896541e+13 2.94578850541e+12 8.72134196235e+12
637.5 6.49129969055e+13 2.95563192671e+12 8.78693878294e+12
642.5 6.54031584893e+13 2.96022241813e+12 8.85154853232e+12
647.5 6.58971020859e+13 2.9681473436e+12 8.91538248974e+12
652.5 6.63920710348e+13 2.98650857068e+12 8.97856845518e+12
657.5 6.68703001396e+13 2.98947365089e+12 9.04168578632e+12
662.5 6.73485564172e+13 2.99814858724e+12 9.10555843814e+12
667.5 6.78149552698e+13 3.0015973682e+12 9.16842591437e+12
672.5 6.82760348128e+13 3.00425889224e+12 9.23024690174e+12
677.5 6.87521245022e+13 3.01771520158e+12 9.29129028738e+12
682.5 6.92260545673e+13 3.02472238865e+12 9.35197892114e+12
687.5 6.97097882022e+13 3.04530424753e+12 9.41295496211e+12
692.5 7.01852266698e+13 3.05068924887e+12 9.47418984521e+12
697.5 7.06741562736e+13 3.06607410399e+12 9.53703045002e+12
702.5 7.11632505253e+13 3.07249549543e+12 9.59851139113e+12
707.5 7.16420097764e+13 3.07559645799e+12 9.65822597184e+12
712.5 7.21341334907e+13 3.09466596839e+12 9.71757526595e+12
717.5 7.26287221732e+13 3.10246890218e+12 9.77694031243e+12
722.5 7.31433470517e+13 3.14269293598e+12 9.83663020983e+12
727.5 7.36817782141e+13 3.21847953704e+12 9.89657036426e+12
732.5 7.41884143427e+13 3.23583413251e+12 9.95631746196e+12
737.5 7.46773022182e+13 3.24088416535e+12 1.00157876463e+13
742.5 7.51582912583e+13 3.24447975427e+12 1.0075130371e+13
747.5 7.56525416205e+13 3.26167884623e+12 1.01351818146e+13
752.5 7.61565515355e+13 3.29096232282e+12 1.01970114912e+13
757.5 7.667143753e+13 3.34311390364e+12 1.02598987058e+13
762.5 7.71614213323e+13 3.36007219075e+12 1.03211715163e+13
767.5 7.76194797213e+13 3.3638470176e+12 1.03803897325e+13
772.5 7.80576486747e+13 3.36586160466e+12 1.04384775929e+13
777.5 7.84906998849e+13 3.3676097487e+12 1.04957550157e+13
782.5 7.89114428451e+13 3.369055241e+12 1.0552373838e+13
787.5 7.93259124363e+13 3.37122685616e+12 1.06084486744e+13
792.5 7.97445511652e+13 3.37671251722e+12 1.06641770569e+13
797.5 8.01528643197e+13 3.37797497365e+12 1.07194865823e+13
802.5 8.05591211282e+13 3.3792260195e+12 1.07745285107e+13
807.5 8.09685166594e+13 3.38094142478e+12 1.08293702508e+13
812.5 8.13864777018e+13 3.38595787594e+12 1.08842559248e+13
817.5 8.17943542945e+13 3.38732138748e+12 1.09387396219e+13
822.5 8.22013957517e+13 3.38880310261e+12 1.099291822e+13
827.5 8.26163359464e+13 3.39241639822e+12 1.10469131778e+13
832.5 8.30457712496e+13 3.40340215786e+12 1.11007853646e+13
837.5 8.34683091427e+13 3.40963162086e+12 1.11548450619e+13
842.5 8.38849294092e+13 3.42037521777e+12 1.12086912493e+13
847.5 8.42862062442e+13 3.42506088746e+12 1.12623044071e+13
852.5 8.46826593942e+13 3.43184889218e+12 1.13155953511e+13
857.5 8.50629770605e+13 3.43279033108e+12 1.13687357876e+13
862.5 8.54416257389e+13 3.43355765566e+12 1.14217654574e+13
867.5 8.58205558488e+13 3.43427450465e+12 1.14747057824e+13
872.5 8.62016092159e+13 3.43501678688e+12 1.15275985321e+13
